p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
8.951790844595656e-38,-3.002366671592285,0.076,0.733,2.7997621045557372e-33,5,Cxcl12
2.4655644914679107e-33,2.1418296891995445,0.915,0.307,7.711299503515037e-29,5,Ubd
2.6641799490350027e-33,2.0885893207183575,0.888,0.198,8.332489208601874e-29,5,Lrg1
1.5580857517480318e-31,4.872016401098366,0.812,0.089,4.873068997167144e-27,5,Glycam1
3.8578519945128146e-30,-1.9790771662948126,0.327,0.851,1.206581789803828e-25,5,Ly6c1
2.9375447729808667e-27,-2.3898131366100244,0.143,0.693,9.187465031974958e-23,5,Cd36
4.585689514080686e-26,-1.1186198652058188,0.825,0.931,1.4342202524238752e-21,5,Sparc
1.3497813380514785e-24,3.397587969938917,0.7,0.069,4.2215761128898044e-20,5,Ccl21a
1.4521641190984573e-22,-2.032577231658664,0.036,0.475,4.5417884988923355e-18,5,Igfbp3
3.685100225167669e-22,1.1549863261662108,0.897,0.307,1.1525519464234402e-17,5,Man1a
8.09160388054712e-22,1.7607288376014554,0.803,0.228,2.5307300296799173e-17,5,Apoe
1.4825002828627056e-21,1.6640561930251085,0.641,0.05,4.636667884681398e-17,5,Dclk1
2.1253541720960334e-20,-1.8815901628720262,0.076,0.505,6.647257708647554e-16,5,Gpihbp1
7.169349458655731e-20,1.2424456432861206,0.816,0.218,2.2422857366891665e-15,5,Il6st
2.76340699180636e-19,1.1829806733244892,0.771,0.188,8.642831707573571e-15,5,Icam1
3.853528401779582e-19,1.959735117228234,0.758,0.267,1.205229542940582e-14,5,Clu
8.68834025131339e-19,1.6910739951196831,0.529,0,2.717365297000776e-14,5,Ackr1
2.0538858185187445e-18,1.4135862078058905,0.592,0.05,6.423733285999225e-14,5,Dsg2
3.8954985710893466e-18,0.7072111088633188,0.964,0.782,1.218356133093904e-13,5,Rps3
2.451708689058431e-17,-1.5490302362085893,0.058,0.436,7.667964095899149e-13,5,Rgcc
3.845755994366947e-17,0.6224018213670752,0.987,0.832,1.2027986447982064e-12,5,Rps16
1.9652457484847365e-16,-1.3879478269692451,0.013,0.317,6.146502602960862e-12,5,Btnl9
