p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.3896217417033847e-219,1.2054766421928855,0.911,0.205,4.346180959351506e-215,0,Fcgr4
7.319641083339695e-203,0.7775858019152396,0.713,0.114,2.289290945225323e-198,0,Fpr2
7.239792494549645e-192,0.6977687697719543,0.704,0.117,2.264317500595347e-187,0,Siglece
7.079774838847122e-189,0.8345741911161905,0.702,0.117,2.2142703785978259e-184,0,C1qc
1.75318669919276e-184,0.9400389392350845,0.865,0.209,5.483266720395276e-180,0,Itgam
3.2886514495515755e-184,0.6852403803006575,0.691,0.117,1.0285586273617508e-179,0,Pecam1
3.252468193512946e-183,0.8021146784770259,0.726,0.13,1.0172419522031091e-178,0,C1qa
1.184350045338164e-180,0.8667289062663486,0.778,0.155,3.704173201799642e-176,0,C1qb
2.50439005588386e-175,0.6924066477418637,0.78,0.154,7.832730338782361e-171,0,Cd300e
1.4437824655350182e-174,0.8295623697221599,0.904,0.231,4.5155740392073226e-170,0,Pltp
1.2064127428509647e-166,0.6718689190539403,0.65,0.113,3.7731764945406774e-162,0,Slamf9
2.2436958099167367e-165,0.9293935904679405,0.893,0.248,7.0173830150955855e-161,0,Cd72
2.38556059183877e-162,0.6307070209808974,0.663,0.118,7.461079307034937e-158,0,Fcrl5
2.7346394267231155e-161,0.6439241725026558,0.704,0.139,8.552858271019216e-157,0,Adgre1
5.726671879427032e-160,0.5504821281488546,0.707,0.135,1.7910738970095986e-155,0,Pilra
1.4796172544472145e-153,0.44205830771361787,0.498,0.067,4.627650925009108e-149,0,Sh3bp5
2.341443847154888e-148,0.47715262467941855,0.543,0.085,7.323099776361628e-144,0,Rnf144a
2.803125260488587e-148,0.7654129452115175,0.854,0.227,8.767054564704106e-144,0,Acp5
2.991685034300057e-148,0.502081329417915,0.646,0.12,9.356794113276859e-144,0,Sh2d1b1
9.856579625222033e-148,0.7260163683956999,0.902,0.272,3.082743843584443e-143,0,Lcp2
6.375428438149974e-147,0.6355448918083985,0.77,0.176,1.993978998315786e-142,0,Klra2
1.11416908285067e-140,0.7983037472290464,0.893,0.284,3.4846752235237555e-136,0,Prkcb
3.541378968768493e-138,0.47830703986617673,0.626,0.123,1.1076016862720338e-133,0,Csf3r
2.950159041811402e-137,0.601339364896466,0.787,0.194,9.22691741916934e-133,0,Sirpb1c
4.481928086583483e-135,0.6639768260982905,0.802,0.213,1.4017678283598501e-130,0,Ctsd
5.261824147013927e-135,0.5453794247134259,0.715,0.16,1.6456881202200758e-130,0,Sirpb1b
8.089142859299578e-135,0.7790836578633866,0.954,0.351,2.529960320674536e-130,0,Clec4a1
2.206300099608717e-134,0.6504895792734419,0.798,0.207,6.900424191536223e-130,0,Clec4b1
1.92092062653039e-133,0.6506593752654689,0.615,0.126,6.007871351536448e-129,0,Fabp4
2.377309652979867e-132,0.7911168352845888,0.948,0.353,7.435273670659831e-128,0,Pou2f2
2.3298878935209804e-131,0.5670105495468389,0.783,0.216,7.286957375776219e-127,0,Ccl4
6.5986894007544405e-131,0.6291783132754094,0.596,0.12,2.0638060969799587e-126,0,Nr1h3
9.902343552565116e-129,0.4143644002597223,0.565,0.105,3.0970569695002656e-124,0,Cd300lf
6.234981878696814e-127,0.485813650458191,0.496,0.083,1.9500529323812153e-122,0,Lpl
2.8668025453938232e-126,0.7885912292816153,0.978,0.38,8.966211640973722e-122,0,Clec4a3
4.710517450794125e-124,0.7453496305939584,0.367,0.045,1.4732614379103706e-119,0,Lipg
1.0143732724338013e-123,0.5831128323897141,0.817,0.227,3.172553846863957e-119,0,Adgre4
3.5991710788951897e-123,0.4728927675869109,0.565,0.112,1.1256767466352595e-118,0,Slc11a1
3.8203718999185457e-121,0.5019324412697163,0.639,0.144,1.1948595154185244e-116,0,Gk
4.12369145176401e-121,0.7521877404355002,0.974,0.415,1.2897257384537116e-116,0,Sirpa
6.021948286891901e-119,0.4185256124871347,0.396,0.055,1.883424546208311e-114,0,C3ar1
1.3580304164862572e-118,0.4436818691511672,0.598,0.127,4.247375930602418e-114,0,Slc15a3
1.4243373828278549e-117,0.3452728251974217,0.559,0.109,4.4547575985323987e-113,0,Emilin2
1.8682885987690687e-117,0.5533175700249657,0.654,0.154,5.84325942151014e-113,0,Ccnd2
3.6719994054293984e-117,0.6410902272518652,0.846,0.261,1.1484545340420985e-112,0,Cx3cr1
7.747357806921069e-117,0.4102645570337706,0.559,0.113,2.4230636276926335e-112,0,Wdfy3
5.413272586968267e-115,0.44738261051394435,0.572,0.118,1.693055134300195e-110,0,Mafb
1.0650418827214911e-114,0.6164583880093493,0.852,0.27,3.3310249923997353e-110,0,Clec4a2
2.296898398369722e-114,0.6002670971727633,0.772,0.23,7.183779430741143e-110,0,Ptprj
1.6708830185578217e-113,0.45934479264584166,0.596,0.131,5.225853728841443e-109,0,Gcnt1
5.723852980373568e-113,0.4916746225922891,0.704,0.179,1.790192258141637e-108,0,Nxpe4
8.797335529319704e-113,0.4530685816974416,0.576,0.123,2.7514546601500307e-108,0,Hebp1
2.496636745720751e-112,0.4368264594690905,0.617,0.141,7.808481085916221e-108,0,Spn
5.262607045909639e-112,0.6228049018160923,0.737,0.216,1.6459329796786988e-107,0,Tcf7l2
8.142174102268872e-111,0.3433046412702533,0.507,0.096,2.546546372225612e-106,0,Fgd4
8.519305498773595e-111,0.6751356365098877,0.924,0.361,2.6644979877964297e-106,0,Tgfbi
2.1761457054346312e-110,0.32674961747878745,0.365,0.05,6.806113308317353e-106,0,Itgad
1.8585562334896594e-108,0.4059792087413909,0.593,0.133,5.812820475862259e-104,0,Dok3
3.2495682553391133e-108,0.6634855066736001,0.98,0.516,1.0163349675398611e-103,0,Wfdc17
4.5237727168993964e-108,0.3922593622139242,0.502,0.098,1.4148551549374552e-103,0,Hes1
1.4971979887713882e-107,0.5904937321366078,0.804,0.266,4.682636429681394e-103,0,Itgal
1.5929486111349328e-106,0.7180280899644274,0.922,0.429,4.982106076185616e-102,0,Grn
2.202363960264803e-106,0.2957785763961238,0.4,0.063,6.888113522124198e-102,0,Negr1
1.539032626916938e-105,0.665696035615422,0.97,0.509,4.813478443945416e-101,0,Cd53
2.123045657973695e-105,0.334034533154936,0.361,0.051,6.64003759987853e-101,0,Cp
2.9918481970856547e-105,0.30830599127418523,0.426,0.072,9.357304421205094e-101,0,P2ry10b
5.8952567831050305e-105,0.3532646294733639,0.402,0.065,1.8438005114839292e-100,0,Smpdl3b
7.939433151451614e-105,0.44794597706581185,0.724,0.198,2.483137112448007e-100,0,Plxnb2
1.1673171330671447e-104,0.3546613322165647,0.485,0.094,3.650901065380802e-100,0,Arhgef3
1.2154287628464822e-104,0.39939231419366045,0.491,0.097,3.8013749986786575e-100,0,Rhoq
2.2832332337799843e-104,0.7024257133314808,1,0.782,7.141040261970278e-100,0,Fcer1g
1.0579014642926534e-103,0.32006157597292695,0.491,0.096,3.308692619721703e-99,0,Cd300ld
1.4474019558093314e-103,0.5462287139654767,0.935,0.404,4.526894356989265e-99,0,Il1b
2.1373002665431257e-103,0.37419428391063303,0.43,0.076,6.68462031364028e-99,0,Ms4a7
2.965117945338294e-103,0.510293520567657,0.82,0.249,9.273702885840047e-99,0,Ms4a6d
9.48879838465913e-103,0.5624239462363116,0.837,0.301,2.9677165827859896e-98,0,Ptpre
1.2984469072384368e-102,0.5515780948215803,0.785,0.253,4.061022547078935e-98,0,Man2a1
4.0212990139239614e-102,0.609984422192307,0.883,0.352,1.2577014795948582e-97,0,Syk
1.906229621938189e-101,0.42572661124051137,0.424,0.076,5.96192376557388e-97,0,Maf
1.4280017990279254e-100,0.32849466008216077,0.42,0.074,4.46621842663974e-96,0,Serpinb6a
1.8662388845263872e-100,0.6256439060642165,0.922,0.417,5.836848735244729e-96,0,Itgb2
2.478896474901981e-100,0.28583066065916485,0.374,0.058,7.752996614903436e-96,0,Pparg
9.898342418849096e-100,0.37321802420557215,0.585,0.137,3.0958055749192435e-95,0,Sirpb1a
1.0056943250585691e-99,0.3268050659503436,0.467,0.091,3.145409571053181e-95,0,Irak3
2.538106246026988e-99,0.46500520186229877,0.563,0.143,7.938181095074007e-95,0,Cxcl2
8.235983271631323e-98,0.3602790801382699,0.611,0.15,2.5758861280354123e-93,0,Lair1
1.8893451724878895e-97,0.6844441017849419,0.974,0.462,5.909115961473123e-93,0,Cybb
2.0599433940282723e-97,0.34795790788146663,0.554,0.13,6.442678959162825e-93,0,Tgfbr1
2.53043122632534e-97,0.4346354416305743,0.633,0.166,7.914176703455133e-93,0,Snx18
9.420318910152099e-97,0.34924755212900666,0.567,0.135,2.9462989423391706e-92,0,Cyth3
2.1020630760251234e-96,0.39043048514514367,0.646,0.177,6.574412476576176e-92,0,Apoe
6.20911914579177e-96,0.32918264274947695,0.426,0.08,1.941964104037834e-91,0,Pitpnc1
2.570125120900009e-95,0.28202901479173714,0.509,0.111,8.038323328126868e-91,0,Ets2
4.74261311557166e-95,0.5215685811255205,0.815,0.282,1.4832996780261924e-90,0,Tm6sf1
8.205308779533278e-95,0.4559913526879028,0.78,0.255,2.566292373886828e-90,0,Txnip
2.539867964305054e-94,0.5127923917901209,0.317,0.045,7.943691045160488e-90,0,Cd5l
2.59186939246745e-94,0.3575610298978695,0.55,0.129,8.106330711881197e-90,0,Rgl1
8.282446761312637e-94,0.37280178553681076,0.563,0.136,2.5904180490681402e-89,0,Asph
9.408852998740757e-94,0.3559113661316034,0.572,0.138,2.942712863886159e-89,0,Tmem51
4.086420725989236e-93,0.5788136214785711,0.943,0.453,1.2780689462603933e-88,0,Tpd52
2.7389722587117523e-92,0.2556427467950607,0.263,0.03,8.566409636346877e-88,0,Itga9
3.940688198355602e-92,0.37027043445197955,0.548,0.13,1.232489640917698e-87,0,Dram1
4.483298711797466e-92,0.29995690874609904,0.439,0.086,1.4021965051017756e-87,0,Spata13
5.2099144629157753e-92,0.6091252619583962,0.924,0.434,1.629452847421538e-87,0,Rnf149
6.841546251445042e-92,0.3712954518913604,0.254,0.028,2.1397620056019515e-87,0,G0s2
7.399822035303255e-92,0.4583516145849885,0.698,0.207,2.314368339761446e-87,0,Ptk2b
8.939595011931397e-92,0.3546204964780053,0.565,0.141,2.795947735931664e-87,0,Tgfbr2
1.6008270057215774e-91,0.31623427080755506,0.517,0.118,5.006746543094806e-87,0,Neurl3
1.9606650086225265e-91,0.4969489130191467,0.935,0.405,6.132175880967814e-87,0,Cebpb
4.155444564108428e-91,0.4450239480188488,0.591,0.158,1.2996568418705518e-86,0,Dusp16
5.352296808933864e-91,0.343466240335272,0.474,0.103,1.673984349962155e-86,0,Slc29a1
1.0863085177017264e-90,0.629635451681311,0.996,0.571,3.3975385199639194e-86,0,Ms4a6c
1.880398638054016e-90,0.60373158617854,0.957,0.504,5.88113478037774e-86,0,Zfp36l2
4.811783570909136e-90,0.3326077960646522,0.565,0.138,1.5049334296375414e-85,0,Cd79b
1.1624478556738553e-89,0.535004833845556,0.893,0.368,3.63567191340555e-85,0,Nfkbiz
1.2063175961488839e-89,0.3477978906224014,0.47,0.102,3.772878913715249e-85,0,Fhod1
3.025916115182081e-89,0.3685420979528123,0.585,0.148,9.463855241843477e-85,0,F11r
4.246490129110293e-89,0.2766851294266195,0.343,0.056,1.3281322527805352e-84,0,Prune2
6.064353784160135e-89,0.41704109305282566,0.743,0.235,1.8966872895339237e-84,0,Il6ra
8.027714439346289e-89,0.3228559952319617,0.517,0.121,2.5107479680499456e-84,0,Vamp5
1.0027609020060035e-88,0.3647644027066208,0.646,0.178,3.1362349971139768e-84,0,Abi3
1.8313094417704994e-88,0.28830106893543883,0.424,0.084,5.727603410081413e-84,0,Tnfrsf21
4.9312906955913866e-88,0.5845602847802946,0.989,0.495,1.542310477953162e-83,0,Gngt2
9.537753315232694e-88,0.2584794951386751,0.348,0.058,2.9830277268721773e-83,0,Tgm2
1.5504176579069365e-87,0.5064341309219224,0.75,0.255,4.849086266869734e-83,0,Gns
2.3817548053900635e-87,0.37271701032409627,0.583,0.15,7.449176329337963e-83,0,Acp2
1.9714481893348064e-86,0.2922920470822624,0.67,0.192,6.16590135696354e-82,0,Ccl6
4.2415929252280466e-86,0.37319511625830004,0.639,0.181,1.326600603294324e-81,0,Ifi204
