p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
5.614195497041329e-86,1.6614711613131221,0.729,0.16,1.755895783654646e-81,0,Pi16
4.316987405121233e-84,1.23944655740818,0.928,0.381,1.3501809808257167e-79,0,Anxa3
3.7817517876372687e-82,1.239540995964955,0.986,0.433,1.1827806891014322e-77,0,Sema3c
7.871688132084476e-75,1.1782676187871162,0.878,0.327,2.4619491801907407e-70,0,Efemp1
1.4425045210497592e-69,1.0942734488203698,0.575,0.108,4.5115771400352265e-65,0,Pcsk6
1.5225470289063366e-69,1.11981189123829,0.937,0.412,4.7619180876074585e-65,0,Creb5
1.266192221006582e-68,0.9194959737147701,0.995,0.715,3.960142790420186e-64,0,Nid1
9.29557998529043e-68,1.1016049500143454,0.887,0.347,2.9072855961994345e-63,0,Fndc1
1.4403488377504064e-66,1.0487325852086644,0.941,0.442,4.5048350249481715e-62,0,Mmp2
3.57157147540304e-66,1.0442738366283182,0.597,0.126,1.1170446946470549e-61,0,Dpp4
3.803578954714177e-66,0.830420045466949,0.995,0.862,1.189607353876406e-61,0,Marcks
6.539971786012985e-64,1.018306968397484,0.991,0.538,2.0454415757934214e-59,0,Prss23
3.6121382853506325e-62,1.0232605708402716,0.814,0.29,1.1297323701262638e-57,0,Pla1a
1.0206322969325535e-61,1.178482567141489,0.869,0.367,3.1921295718862543e-57,0,Igfbp6
1.935764395277102e-61,1.0596752805248046,0.968,0.587,6.054296722668663e-57,0,Cd55
1.6563386574388297e-60,1.1091166766593932,0.67,0.177,5.180364785005684e-56,0,Ogn
7.7212816318581036e-59,0.9821821361782661,0.864,0.399,2.4149080431799406e-54,0,Tnxb
1.5248110180712904e-58,1.0516737802653142,0.964,0.563,4.768998940119768e-54,0,Plpp3
1.8106502241837707e-58,0.9116338761592415,0.968,0.559,5.662989641157161e-54,0,Tgfbr2
1.0710393059364518e-55,0.7879193270795186,1,0.716,3.349782533246847e-51,0,Fbn1
1.3468913559870661e-55,1.4928980481168792,0.86,0.422,4.212537404985148e-51,0,Igfbp5
1.4479970347649215e-54,0.9186126405996784,0.71,0.232,4.528755525930769e-50,0,Efhd1
3.3589048837424017e-54,0.9990643128705892,0.869,0.381,1.0505310914392736e-49,0,Ackr3
4.3956558427706885e-54,0.8215784707036236,0.457,0.081,1.3747853213849606e-49,0,Adamtsl4
2.045289969270301e-53,0.9308682890610969,0.919,0.437,6.3968489078897935e-49,0,Clec3b
