p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
6.614125474927952e-89,0.853785104194142,0.942,0.63,2.0686338835384663e-84,0,Igfbp4
5.541385865656541e-63,0.7510851954386064,0.887,0.604,1.73312384334274e-58,0,Lyve1
4.914450709898675e-58,0.6855522870703639,0.856,0.646,1.5370436040279096e-53,0,Ctsl
6.364265495117735e-55,-1.2483283339067253,0.173,0.561,1.9904876762530226e-50,0,Prss23
6.875841165673535e-55,0.6682069992833619,0.874,0.631,2.150488082976055e-50,0,Maf
3.9103469264658887e-51,1.0143823913459833,0.299,0.079,1.2230001047214714e-46,0,Hpgd
1.3419861356644598e-49,-0.8484603997091276,0.485,0.777,4.1971958379041645e-45,0,Vim
3.526039160499175e-49,0.8424754051776253,0.544,0.254,1.1028040078377221e-44,0,Ptx3
1.6965260391091014e-48,0.6094448940115529,0.812,0.585,5.306054839917626e-44,0,Cd55
3.1919319607611045e-47,0.5479595950988108,0.93,0.774,9.98308640047643e-43,0,Selenop
5.202253145065182e-47,-1.3212633092662722,0.153,0.503,1.6270566936505863e-42,0,S100a6
1.0997635105232792e-45,0.7114134538311683,0.662,0.399,3.439620355512608e-41,0,Phldb2
4.4643843027887564e-44,0.7096782678017768,0.647,0.379,1.3962808345402114e-39,0,F8
2.802945037404923e-43,0.5484054810512373,0.903,0.733,8.766490898987638e-39,0,Timp3
1.0823654913080624e-41,0.35647113881489423,0.99,0.937,3.3852063106150962e-37,0,Rps3
5.476535510918334e-40,-0.513152779810905,0.955,0.959,1.7128412463948182e-35,0,Tmsb4x
1.3831173417506188e-39,-1.1007058459836303,0.058,0.367,4.3258377980592355e-35,0,Emp1
2.0742487687247167e-35,-0.775160890977147,0.303,0.615,6.487420449063424e-31,0,Cd9
3.8876848403055887e-35,-0.7392946038352928,0.392,0.655,1.215912310653976e-30,0,S100a10
1.2052138152808058e-33,0.7480477574918503,0.342,0.137,3.769426728672248e-29,0,Mrc1
1.1751236627527477e-32,0.5530758155912858,0.695,0.483,3.6753167676254938e-28,0,Eln
2.3081923373852615e-32,0.6515704875452948,0.581,0.373,7.219102354406144e-28,0,Jam3
3.2993551106304416e-32,-1.1729703761718622,0.031,0.284,1.0319063044007769e-27,0,Fgl2
3.44965470219676e-32,0.4564324069881609,0.839,0.685,1.0789140046590586e-27,0,Ugcg
7.01125987662474e-32,-0.7743143265813979,0.897,0.937,2.1928416390131536e-27,0,Gm42418
9.95253417132459e-30,-0.8869863063870356,0.058,0.312,3.1127545874234788e-25,0,Cd24a
3.322979239813128e-29,0.6354179081520703,0.4,0.196,1.0392949870439538e-24,0,Ltb
3.4873647964138213e-29,-0.812278952722018,0.293,0.565,1.0907082137263867e-24,0,Tm4sf1
3.583018001264685e-29,0.5774383980408444,0.575,0.352,1.120624710075543e-24,0,Cpe
7.528783870915762e-29,0.5935228654096564,0.299,0.116,2.3547024434676137e-24,0,Itga2b
5.821600746837802e-28,0.5477698574546155,0.616,0.409,1.820763849580991e-23,0,Stab2
1.1640303020724642e-26,0.39444140490500823,0.872,0.738,3.640621172761839e-22,0,Ctsd
5.370750859028259e-25,0.38861329988391313,0.938,0.832,1.6797560386696782e-20,0,Fos
2.688185444431358e-24,-0.6843541900457644,0.575,0.746,8.407568796003515e-20,0,Nfat5
7.87321900854469e-24,-0.43190758283660324,0.802,0.863,2.462427977112437e-19,0,Calm1
2.6340744054357838e-23,0.5702029991936208,0.629,0.47,8.238331110440957e-19,0,Lgmn
4.0023802814502073e-23,-0.6047487378956085,0.278,0.531,1.2517844568263668e-18,0,Anxa2
8.244526452870886e-23,0.6116405503564352,0.357,0.188,2.578558093399898e-18,0,Slc9a9
3.917608214779885e-22,0.3028615201132645,0.967,0.888,1.2252711452545568e-17,0,Marcks
4.641883761033434e-22,-0.7726651565868292,0.165,0.397,1.451795565100817e-17,0,Scn3a
1.158721902496409e-21,0.47113391071812405,0.588,0.421,3.6240186222477686e-17,0,Cyba
4.126535837056077e-21,-0.619741470894182,0.064,0.268,1.2906153483976585e-16,0,Podxl
6.1455771606043446e-21,-0.7710246143557763,0.052,0.244,1.9220907127506149e-16,0,Serpine1
1.1671048853343653e-20,-0.7771049962471436,0.023,0.195,3.6502372393717607e-16,0,Cd34
1.768617843311412e-20,-0.6230323554453007,0.049,0.239,5.531529166740772e-16,0,Col18a1
8.817072043115713e-20,-0.6303921778655838,0.192,0.42,2.7576274522048704e-15,0,Atf3
2.2212138213179434e-19,0.41648432705626326,0.666,0.547,6.947068347554e-15,0,Tmem176b
5.098733853919215e-19,0.4171003173304708,0.858,0.78,1.5946800001517736e-14,0,Junb
7.917518375651688e-19,0.3934158466547706,0.722,0.633,2.476283047168822e-14,0,Clta
1.4970809621391635e-18,-0.7038384487961858,0.175,0.384,4.6822704171864476e-14,0,AY036118
4.62336362939515e-18,-0.47224471426159575,0.406,0.625,1.4460032087296272e-13,0,Msn
7.91763579134263e-18,0.5281565050844051,0.151,0.05,2.476319770100321e-13,0,Cyp4b1
1.737590748674724e-17,0.5368775160147744,0.377,0.231,5.434488825555067e-13,0,Bok
2.1088708352396024e-17,-0.6866117924284205,0.008,0.148,6.595704424295381e-13,0,Neo1
3.030180486271873e-17,-0.5077249818942127,0.344,0.567,9.47719248886391e-13,0,Apold1
3.2523147511395524e-17,-0.5908640900473656,0.066,0.24,1.0171939615664064e-12,0,Fbln2
6.480376980067249e-17,-0.4757144825756138,0.148,0.357,2.0268027042858325e-12,0,Utrn
9.412058716056507e-17,0.3489965267890769,0.88,0.789,2.943715484033833e-12,0,Egr1
9.556159177644524e-17,-0.5768105136562047,0.452,0.644,2.9887843444001014e-12,0,Sgk1
9.626332626195142e-17,0.5864747904494225,0.328,0.19,3.0107317921687926e-12,0,Serinc5
2.0026586853688233e-16,0.500653891741204,0.429,0.286,6.2635153043595315e-12,0,Meox2
2.3921783502356023e-16,0.453273857218115,0.631,0.535,7.48177700819687e-12,0,Il6st
2.881723547040258e-16,0.36303024227698555,0.722,0.63,9.012878565723111e-12,0,Kdr
3.2378774142272913e-16,-0.3828787934861184,0.408,0.641,1.0126785400737277e-11,0,Ahnak
4.646624423520785e-16,0.3996794837852078,0.612,0.5,1.4532782547003607e-11,0,Tmem2
4.938865961811282e-16,0.3961548131699508,0.68,0.592,1.5446797182160966e-11,0,Jak1
6.336159621399193e-16,-0.522413858459478,0.019,0.156,1.9816972831888116e-11,0,Parm1
6.496940743755501e-16,-0.5617169303043397,0.019,0.156,2.0319831870169706e-11,0,Ackr3
6.8174643010051975e-16,-0.5146813977203026,0.056,0.216,2.1322301347823855e-11,0,Plpp3
1.22372858173781e-15,0.5186233634358601,0.392,0.256,3.8273335122431746e-11,0,Rpap3
1.3624556310000613e-15,0.28188212446421135,0.868,0.784,4.2612162315157916e-11,0,Serinc3
1.5578616428402704e-15,0.410484212444828,0.647,0.548,4.872368074147229e-11,0,Kctd12
1.558505390274281e-15,0.5377427015860318,0.342,0.213,4.874381458621841e-11,0,Gpr182
1.758712846215314e-15,-0.5968513501736883,0.361,0.548,5.500550297823016e-11,0,Thbs1
2.0234366096034323e-15,-0.4247754237903181,0.031,0.175,6.328500340195695e-11,0,Cdh13
2.4458264023311447e-15,0.48717238473970403,0.47,0.332,7.649566655930889e-11,0,Mmp14
2.7220364234516568e-15,-0.4619599576446928,0.122,0.306,8.513441117987402e-11,0,Itga6
3.5218542449004697e-15,-0.6270488863699438,0.002,0.12,1.1014951336350709e-10,0,Plat
4.064909432214501e-15,0.348927797245254,0.788,0.683,1.271341074019407e-10,0,Calr
4.832848022530573e-15,-0.7652074804219156,0.136,0.31,1.511521547526662e-10,0,Cd36
1.4703743892374307e-14,0.521424708350273,0.229,0.113,4.598742939778988e-10,0,Itih5
5.415928646061641e-14,-0.5642316513848368,0.134,0.312,1.6938858433422389e-9,0,Crip1
6.021366050202355e-14,-0.478857391091539,0.299,0.497,1.8832424458612884e-9,0,Fstl1
7.241807031182527e-14,-0.4924094082916059,0.014,0.133,2.2649475670726474e-9,0,Esam
7.305635813380239e-14,0.4099623609370824,0.105,0.033,2.2849106569928037e-9,0,Kcnj8
