p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.825878850785662e-73,0.7599875488532852,0.942,0.686,1.5093418693717235e-68,0,Igfbp4
2.88351406275353e-66,-1.3522465880212815,0.173,0.608,9.01847858266794e-62,0,Prss23
1.5647929767202854e-58,0.701921668353739,0.856,0.651,4.8940465139903645e-54,0,Ctsl
9.620422758269392e-50,-1.2623749229239962,0.153,0.519,3.008883421876335e-45,0,S100a6
3.4715905935129824e-48,-0.8361167332177806,0.485,0.772,1.0857746740271204e-43,0,Vim
4.553855825079217e-46,0.6304991755346014,0.887,0.686,1.4242639478517759e-41,0,Lyve1
2.7049162573354094e-44,0.9918287502917431,0.299,0.085,8.459896086442226e-40,0,Hpgd
8.585364478532384e-42,-0.8364670457817553,0.303,0.644,2.6851585943057883e-37,0,Cd9
1.1935667821368837e-40,-0.7902450825522884,0.392,0.678,3.7329994678113176e-36,0,S100a10
5.103350986577227e-39,0.5495865303790093,0.874,0.716,1.5961240545618936e-34,0,Maf
6.096891779234864e-39,0.6641589852014267,0.647,0.391,1.906863872873496e-34,0,F8
1.8930875644512765e-38,-1.2751660353813468,0.031,0.323,5.920820666577813e-34,0,Fgl2
2.118880242486391e-38,0.7661890383440673,0.544,0.286,6.627009846400437e-34,0,Ptx3
2.929923771625419e-38,0.5358555090949295,0.812,0.627,9.16362958813566e-34,0,Cd55
8.590688299995945e-38,-0.7968269235111429,0.575,0.789,2.6868236727067318e-33,0,Nfat5
1.17863933042681e-36,0.46576343661883346,0.93,0.799,3.6863123698428906e-32,0,Selenop
2.278402766798139e-36,0.6321908820569841,0.662,0.433,7.12593249343786e-32,0,Phldb2
2.1663211260650445e-35,-1.00691234453717,0.058,0.347,6.775385953881033e-31,0,Emp1
3.0978663092997656e-34,0.48518039296271187,0.903,0.777,9.688886668965948e-30,0,Timp3
3.4454618642739953e-34,0.31569784093352693,0.99,0.95,1.0776026526703348e-29,0,Rps3
1.1189566180346988e-33,-0.9737859135038218,0.058,0.338,3.499648718565324e-29,0,Cd24a
2.655299665474709e-31,-0.8974741536120743,0.165,0.457,8.3047152337387e-27,0,Scn3a
4.3718120854677005e-31,0.4638934260850043,0.899,0.751,1.367327947850878e-26,0,Igfbp7
5.425628211575544e-30,-0.48639676110409713,0.802,0.875,1.696919479452367e-25,0,Calm1
1.4796906335422854e-29,-0.36127470931527395,0.955,0.958,4.627880425466852e-25,0,Tmsb4x
1.6102755106564137e-28,0.4240916664162202,0.839,0.696,5.036297687129e-24,0,Ugcg
8.429770070178833e-27,-0.7168218106782698,0.897,0.936,2.6364948871491316e-22,0,Gm42418
8.44726764364729e-27,-0.6533318598112163,0.278,0.553,2.6419674282271265e-22,0,Anxa2
8.79904557443471e-27,0.6957358126426387,0.342,0.153,2.7519894938601996e-22,0,Mrc1
1.9212568086169136e-26,-0.46173957350811934,0.755,0.856,6.008922794630259e-22,0,Mmrn1
1.3541022316935072e-25,0.5819027387140709,0.581,0.404,4.235090139844613e-21,0,Jam3
3.525761534912506e-25,-0.5149544088247056,0.647,0.824,1.1027171776592353e-20,0,Fn1
2.377552848025808e-24,-0.6452354629676083,0.064,0.293,7.436034287485518e-20,0,Podxl
2.779679062788403e-24,-0.8329991876350485,0.052,0.269,8.69372423677701e-20,0,Serpine1
3.933445205904223e-24,0.546008326464383,0.299,0.125,1.230224322598605e-19,0,Itga2b
3.0944298406534817e-23,0.4645940645026756,0.695,0.534,9.67813876962783e-19,0,Eln
1.285163780228903e-22,0.5638988270674955,0.4,0.217,4.019478239043917e-18,0,Ltb
1.4620162061106478e-22,-0.6551553192943664,0.049,0.256,4.572601886231662e-18,0,Col18a1
7.274672760928804e-22,-0.2864034047644841,0.936,0.951,2.275226652708093e-17,0,Tmsb10
7.519079709601798e-22,-0.5625026887823021,0.577,0.744,2.3516673699750583e-17,0,Nudt4
2.6966561365114826e-21,-0.6493568732942188,0.452,0.668,8.434061732553312e-17,0,Sgk1
3.8316172463943545e-21,-0.6096955484300792,0.293,0.535,1.1983766099822983e-16,0,Tm4sf1
5.527805372887444e-21,0.4990535715763611,0.575,0.395,1.728876408424277e-16,0,Cpe
1.0603349001221468e-20,0.3522371906410151,0.938,0.846,3.3163034336220265e-16,0,Fos
1.6848194935181774e-20,-0.7686697821131967,0.008,0.171,5.269441447927451e-16,0,Neo1
1.2770316085839235e-19,0.45034445083625996,0.588,0.43,3.9940440590070795e-15,0,Cyba
1.7357837580925742e-19,0.46503217721768375,0.664,0.517,5.4288372818103346e-15,0,Sparc
2.265660268009699e-19,-0.6605014517839178,0.361,0.574,7.086079054227134e-15,0,Thbs1
5.312091982580553e-19,-0.49691783556629754,0.348,0.588,1.661409888471894e-14,0,Fxyd6
5.457237119916497e-19,-0.6104106108832837,0.192,0.419,1.7068054816250838e-14,0,Atf3
5.548235960321027e-19,-0.5957719363234009,0.019,0.179,1.7352662789500044e-14,0,Parm1
9.803238604339488e-19,-0.5243831364924696,0.299,0.537,3.066060905893218e-14,0,Fstl1
2.2118700461142017e-18,-0.5243176813505412,0.344,0.577,6.917844756226778e-14,0,Apold1
2.7405729935875034e-18,0.4424290215614266,0.616,0.466,8.571416094744275e-14,0,Stab2
3.658423362175536e-18,-0.6080491694332507,0.019,0.173,1.1442084907540205e-13,0,Ackr3
3.676349942550537e-18,0.5068830957192723,0.629,0.501,1.149815208032106e-13,0,Lgmn
4.982058588412609e-18,0.4021961092246724,0.666,0.549,1.5581886441119276e-13,0,Tmem176b
7.385608555693831e-18,0.499254781406929,0.631,0.532,2.3099229318788026e-13,0,Il6st
2.9450247254208606e-17,0.5559018453262073,0.357,0.211,9.210859331226284e-13,0,Slc9a9
3.6315493401457113e-17,-0.4385210331276619,0.031,0.19,1.1358033716239726e-12,0,Cdh13
4.3067069083007604e-17,-0.43137816322580025,0.427,0.654,1.3469656526401458e-12,0,Cald1
5.494190730052253e-17,-0.4738966489281863,0.148,0.36,1.7183630927311426e-12,0,Utrn
6.945825825355294e-17,-0.5482931251975112,0.109,0.3,2.1723764851381215e-12,0,Foxp2
1.2027459130624333e-16,0.3948894563766272,0.858,0.793,3.761708117694067e-12,0,Junb
1.3164332437079845e-16,0.2984346626055787,0.872,0.784,4.117276613021093e-12,0,Ctsd
1.669732922985402e-16,-0.4383157287971946,0.307,0.535,5.222256689929144e-12,0,Klhl4
2.8249325913563563e-16,-0.6667621730235966,0.002,0.128,8.83525917272614e-12,0,Plat
2.8415797315389636e-16,-0.5693216119663528,0.035,0.187,8.887324768361262e-12,0,Ccdc141
6.740505704975891e-16,0.5666659478645562,0.229,0.106,2.1081605642882597e-11,0,Itih5
