p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
3.230810081190447e-77,1.174603574573422,0.563,0.137,1.0104681609931242e-72,0,Cxcl2
2.6655668580267458e-73,0.5333386739295427,0.713,0.212,8.33682690516445e-69,0,Fpr2
3.1276957404540424e-71,0.6132565308736133,0.911,0.387,9.782181197844063e-67,0,Fcgr4
2.582569597409317e-69,0.3185444650737273,0.498,0.1,8.07724467285738e-65,0,Sh3bp5
4.507667599024892e-69,0.6067829223852246,0.865,0.357,1.4098181182710252e-64,0,Itgam
3.424575432329772e-68,0.5868773901288732,0.626,0.174,1.0710702122154596e-63,0,Csf3r
1.7637885266869563e-65,2.129150178203663,0.296,0.032,5.5164249960661244e-61,0,S100a8
1.9309521499126425e-65,2.43208409868851,0.313,0.039,6.039245944066781e-61,0,S100a9
2.448318341751715e-65,0.5082015686362755,0.496,0.111,7.657360445662665e-61,0,Lpl
1.8183498662296054e-63,0.4508539639365051,0.615,0.175,5.687071041619714e-59,0,Fabp4
4.1395467843870215e-62,0.43951781126378275,0.704,0.231,1.294684652284885e-57,0,Adgre1
9.157946145346757e-61,0.9307302427957044,0.254,0.022,2.8642392364186515e-56,0,G0s2
1.0167849454831849e-60,0.4371655956732754,0.65,0.193,3.180096595493209e-56,0,Slamf9
6.187142773458499e-60,0.49227066606125125,0.804,0.313,1.93509077382688e-55,0,Itgal
2.361117179394934e-58,0.41263754796043073,0.702,0.23,7.384630090275596e-54,0,C1qc
1.8136735563777522e-57,0.33280575017611935,0.559,0.151,5.672445414927057e-53,0,Emilin2
1.1393459082098903e-56,0.34277052692657395,0.691,0.224,3.563418262517253e-52,0,Pecam1
4.571911938457941e-56,0.35963474278996255,0.704,0.237,1.4299111778721056e-51,0,Siglece
7.293396360087898e-56,0.6518092565375123,0.291,0.039,2.281082645581091e-51,0,Slpi
1.0977495824341192e-55,0.4485820465567891,0.67,0.226,3.433321594020951e-51,0,Ccl6
3.978809129819116e-55,0.4901954496569817,0.272,0.033,1.2444123434422266e-50,0,Hdc
1.8934716166227442e-54,0.3409862990131459,0.707,0.239,5.922021828149295e-50,0,Pilra
2.7556452626109454e-54,0.30486107750165736,0.726,0.253,8.618556123341992e-50,0,C1qa
6.281832665523454e-54,0.5742056010289414,0.935,0.544,1.9647059844691155e-49,0,Cebpb
1.7414820348652783e-53,0.324617406019739,0.513,0.137,5.4466592122446445e-49,0,Camkk2
1.5152783699770945e-51,0.34446390623707224,0.77,0.289,4.739184629940361e-47,0,Klra2
7.965071153243502e-51,0.3567304497034338,0.778,0.303,2.491155653888438e-46,0,C1qb
1.3585292841848436e-49,0.41194724010095407,0.902,0.43,4.2489361892165165e-45,0,Lcp2
5.770412902675845e-49,0.4575628215186216,0.802,0.334,1.8047543394408974e-44,0,Ctsd
1.765014202218715e-48,0.41344410260676745,0.559,0.175,5.520258418859254e-44,0,Trib1
1.601714474023313e-47,0.6072377992152398,0.367,0.084,5.009522188955314e-43,0,Lipg
1.6271894975051807e-47,0.32609434166563445,0.509,0.149,5.089197872397203e-43,0,Ets2
2.4475431846206277e-47,0.4223840185160157,0.843,0.388,7.654936064219476e-43,0,Cd44
2.76247856185989e-47,0.3771898919722192,0.785,0.318,8.639927950072991e-43,0,Adgre5
3.8203074628995297e-47,0.4202654615310749,0.7,0.274,1.1948393620964569e-42,0,Gsr
9.436705370988177e-47,0.29920866745006425,0.565,0.179,2.951423971830262e-42,0,Slc11a1
1.2459229832154243e-46,0.2672195024190395,0.507,0.146,3.896748722304561e-42,0,Fgd4
2.2407049775468058e-46,0.4755381021861038,0.983,0.77,7.00802888777539e-42,0,Dusp1
2.9761375050950428e-46,0.43117067334480574,0.904,0.447,9.308167660935255e-42,0,Mpeg1
1.1725227336405765e-45,0.3769035002404434,0.57,0.192,3.667182101734267e-41,0,Grina
2.858801869741576e-45,0.27940094379374714,0.626,0.216,8.941188727803753e-41,0,Smpdl3a
4.890738892278968e-45,0.29640702664550833,0.654,0.232,1.52962749594917e-40,0,Ccnd2
5.2119785768483114e-45,0.2759160543212713,0.78,0.301,1.6300984196950779e-40,0,Cd300e
6.219333020806406e-45,0.25354524324153394,0.485,0.142,1.9451585955874116e-40,0,Arhgef3
6.40875180425483e-45,0.30154067848525723,0.537,0.171,2.0044012142987408e-40,0,Add3
1.0364630765164795e-44,0.42451950215655887,0.304,0.059,3.2416419181129413e-40,0,Clec4e
1.2163558187398155e-44,0.3583278137232906,0.772,0.325,3.804274458690647e-40,0,Ptprj
1.4832825746338921e-44,0.38537781480255495,0.185,0.015,4.639114580424961e-40,0,Mmp9
2.4672170131127094e-44,0.37774453881060865,0.639,0.234,7.71646793021131e-40,0,Egr1
3.97756386759173e-44,0.3622664127288695,0.904,0.448,1.2440228752279895e-39,0,Pltp
9.811382383936586e-44,0.32014292319174176,0.633,0.228,3.0686079544000066e-39,0,Snx18
