seurat_clusters,type,r
16,Monocyte,0.7135030011348464
13,Siglec-H DC,0.8135424012294158
18,Monocyte,0.651577994771316
15,Monocyte,0.8046358428848621
7,cDC2 Tbet-,0.8210672849567869
2,cDC1,0.8340217218570778
4,cDC2 Tbet-,0.8249391090122175
19,cDC2 Tbet-,0.7660075493812606
5,Monocyte,0.7873855484360782
17,cDC2 Tbet-,0.7794750350650762
1,cDC2 Tbet-,0.7291626050636294
9,cDC2 Tbet+,0.7447115556463157
8,cDC1,0.8695191064773187
0,cDC2 Tbet-,0.8038179248826274
6,CCR7hi DC,0.7813010993384358
14,cDC2 Tbet-,0.7602444831504549
3,CCR7hi DC,0.814987102861756
11,CCR7hi DC,0.7534508196938848
12,cDC1,0.80648507709146
10,CCR7hi DC,0.7842078280292899
