seurat_clusters,type,r
0,Endothelial cells (LEC),0.7652019744816781
12,Epithelial cells (Ep.8wk.CEC.Sca1+),0.5269130204042128
3,Fibroblasts (FI),0.7374231266143043
11,Endothelial cells (BEC),0.7639777051211333
1,Endothelial cells (LEC),0.7577142665418133
16,B cells (B.CD19CONTROL),0.5482164315003677
17,Endothelial cells (LEC),0.7409647454139798
14,Fibroblasts (FRC.CFA),0.7618101052467662
10,Tgd (Tgd.vg2-.act),0.6099936166668674
8,Endothelial cells (LEC.CFA),0.7572944962327322
19,Fibroblasts (FRC.CFA),0.5458851304116128
21,Epithelial cells (Ep.5wk.MEC.Sca1+),0.5293725317472973
24,Fibroblasts (FRC.CAD11.WT),0.5779474484707444
18,Fibroblasts (FRC.CFA),0.7458181500332516
20,Stromal cells (DN.CFA),0.756445643363564
25,Fibroblasts (FI.MTS15+),0.6726091212814636
6,Macrophages (MF.11CLOSER.SALM3),0.6925957599171417
15,NK cells (NK.H+MCMV1),0.6575061296814239
9,DC (DC.8-4-11B-),0.7197119237516716
22,Monocytes (MO.6+2+),0.6224737505493267
4,Monocytes (MO.6+2+),0.7387722190834185
7,DC (DC.8-),0.7570950864215994
23,T cells (T.8EFF.OT1LISO),0.6697699471110904
5,DC (DC.103-11B+F4-80LO.KD),0.7169618150377719
13,DC (DC.8-),0.7356112131317792
2,DC (DC.8-4-11B+),0.7045181733138389
