seurat_clusters,type,r
16,"r<0.5, unassigned",0.08910642831596527
13,"r<0.5, unassigned",0.340274843286657
18,"r<0.5, unassigned",-0.011981964904170063
15,"r<0.5, unassigned",0.17834630621681052
7,"r<0.5, unassigned",0.23304990362685302
2,"r<0.5, unassigned",0.41763472320352096
4,"r<0.5, unassigned",0.4785482543411404
19,"r<0.5, unassigned",0.3223821017709822
5,"r<0.5, unassigned",0.11749271322875489
17,"r<0.5, unassigned",0.18736036830519176
1,"r<0.5, unassigned",0.18541735964799014
9,"r<0.5, unassigned",0.27811238200460187
8,"r<0.5, unassigned",0.3937504738728691
0,"r<0.5, unassigned",0.13519335534135923
6,DC.IIhilang-103-11b+.SLN#1,0.800557724581216
14,"r<0.5, unassigned",0.15363740524108244
3,DC.IIhilang-103-11b+.SLN#1,0.8590748686471518
11,DC.IIhilang-103-11b+.SLN#2,0.8256695047093539
12,"r<0.5, unassigned",0.39506774041624765
10,DC.IIhilang+103+11blo.SLN#2,0.8644796206339127
