p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.842136947619417e-45,0.95698210238025,0.898,0.556,2.452706751737449e-40,3,Serpinb6b
1.1230952583508703e-41,1.2304802196705646,0.847,0.477,3.512592730018182e-37,3,Apol7c
1.4524892613354592e-38,0.7162730252077258,0.997,0.937,4.542805413752782e-34,3,Crip1
1.3713670756772785e-30,0.5413990444707415,0.979,0.888,4.2890876658882564e-26,3,Basp1
8.81511877677207e-30,0.6735133792730204,0.965,0.85,2.7570165486232324e-25,3,Epsti1
6.125389664834223e-29,0.4195890548865506,0.997,0.944,1.9157768715735516e-24,3,Lsp1
8.464935898238914e-29,0.7784186983248866,0.839,0.556,2.647493351533203e-24,3,Cd63
8.778703126734134e-27,0.5092640677292248,0.995,0.954,2.745627189917368e-22,3,Calm1
4.703194547760265e-24,0.35214155483818743,0.995,0.98,1.4709711267575004e-19,3,H2-D1
7.231969573415394e-23,0.5767543696224475,0.968,0.901,2.2618708037813987e-18,3,S100a4
1.3989108287180855e-22,0.5203512894619808,0.941,0.797,4.375233507898684e-18,3,Tspo
3.943242417289466e-21,0.3633415984811261,1,1,1.2332884984314535e-16,3,Actb
7.807698880931276e-21,-0.49046447638131685,0.925,0.962,2.441935902000066e-16,3,Ptma
9.926360745837543e-21,0.4352820818434955,0.952,0.835,3.10456858686815e-16,3,Psme2
5.797527344129551e-20,0.4619265071470129,0.949,0.807,1.8132346521499584e-15,3,S100a11
1.7301783277073256e-18,0.5649294866972572,0.654,0.353,5.4113057377374315e-14,3,Ube2l6
2.0097083864739215e-18,0.5585747142737882,0.777,0.508,6.285563949535837e-14,3,Serpinb9
1.400271839135426e-17,0.6604094293252576,0.314,0.074,4.379490204079958e-13,3,Tnfrsf4
3.07377261286885e-17,-1.053696155398901,0.056,0.282,9.613531224008615e-13,3,Il6
3.8407767183522464e-17,0.5018619326561213,0.662,0.393,1.2012413264318486e-12,3,Arl5c
4.083488580597553e-17,1.0118861417993554,0.351,0.107,1.2771518884676906e-12,3,Serpinb1a
7.852691214617352e-17,-0.8921919183968614,0.064,0.287,2.456007704283723e-12,3,Ms4a6c
