p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.675262333941722e-73,2.9541586529568526,1,0.199,1.462235047563613e-68,5,Plac8
3.397328973627812e-69,2.431819288569856,0.993,0.359,1.0625486097918345e-64,5,Tmsb10
4.0404547456117576e-69,2.4586669978916382,0.996,0.575,1.2636926262375333e-64,5,Lyz2
5.176123191868753e-61,1.6708702453574023,1,0.564,1.618884289488871e-56,5,Ifitm3
3.73073247493602e-60,1.6953944863724573,0.996,0.42,1.1668238888609896e-55,5,S100a4
1.8242372493326722e-57,2.323400531497307,0.937,0.116,5.7054844210128655e-53,5,Ly6c2
1.190528051020378e-54,1.9393231922975025,0.881,0.099,3.7234955323713345e-50,5,Ms4a4c
3.8184795740010665e-51,2.1778651210059863,0.819,0.066,1.1942676715645736e-46,5,Ccr2
3.909686248483279e-51,1.5113020508363653,0.963,0.365,1.2227934710756303e-46,5,Npc2
2.1086155933714723e-45,1.849481771342675,0.77,0.088,6.594906129828617e-41,5,Ms4a6b
3.1543710668587946e-45,1.4401256368702176,0.985,0.514,9.865610948707567e-41,5,Crip1
2.185041906650187e-39,1.4348535033957512,0.752,0.094,6.833937067239125e-35,5,Napsa
1.0599616433051228e-38,1.154742114200941,0.963,0.425,3.3151360356011022e-34,5,Ms4a6c
4.1174939732927984e-38,0.6579410100326908,1,0.851,1.2877874150870557e-33,5,Tpt1
4.622292479602341e-35,-5.489735798175478,0.007,0.481,1.4456681959204282e-30,5,S100a8
5.286119425450145e-33,-5.837435305058592,0.015,0.47,1.6532867115037874e-28,5,S100a9
8.508084503109348e-33,-2.381924425342193,0.052,0.525,2.6609885091924796e-28,5,Fcgr4
8.610534291921629e-32,1.0520086644643962,0.759,0.122,2.6930307051414087e-27,5,Ifitm6
1.5479835956936934e-31,-2.5853889667500543,0.011,0.448,4.841473493891595e-27,5,C1qb
3.7872773609578644e-31,0.6589204795727954,1,0.785,1.1845088674131817e-26,5,Rpl27a
3.362094313298813e-30,0.7482797375779575,0.989,0.68,1.0515286174273366e-25,5,Psap
1.1941055186077657e-29,0.8281558320180094,0.996,0.558,3.734684419997648e-25,5,Rplp0
1.561863247069788e-29,1.1710733666989817,0.73,0.177,4.884883491535469e-25,5,Ahnak
2.7318820695760994e-29,-2.0771736233500775,0,0.398,8.544234360806208e-25,5,C1qc
3.070949792354504e-29,0.8424310290756654,0.989,0.519,9.604702570567947e-25,5,Cybb
4.869928216498632e-29,-2.171055882960402,0.011,0.42,1.523118748992112e-24,5,C1qa
1.6082000256004186e-27,0.6648256194058342,1,0.735,5.029806400067869e-23,5,Rpl34
1.0363160248778064e-26,0.909992642205012,0.848,0.359,3.241181999407827e-22,5,Sub1
1.4828791898104417e-26,0.5820390169099765,1,0.79,4.6378529540511375e-22,5,Rpl9
2.5757811046151735e-26,-1.5805584579107907,0.189,0.619,8.056012982794417e-22,5,Ctsd
4.8552462162605376e-26,0.6610278149449318,0.974,0.519,1.5185268065976458e-21,5,Ifi27l2a
7.010247838229582e-26,-1.3785116621542826,0.015,0.392,2.192525113884684e-21,5,Cd300e
1.134745681941452e-25,0.9732160460561277,0.833,0.238,3.549030594840086e-21,5,Hp
5.238005753211675e-25,0.7640233784538162,0.974,0.536,1.6382386793744834e-20,5,Rpl27
1.4685907927434458e-24,0.6416989273221394,1,0.669,4.593164563384401e-20,5,Rpl19
2.158193937408644e-24,0.8926511515919424,0.859,0.42,6.749967358639275e-20,5,Tspo
3.199493962537952e-24,-1.6092837356062848,0.033,0.403,1.0006737317233699e-19,5,Cd72
5.11748271484601e-24,0.5886529170920554,1,0.724,1.600543893895238e-19,5,Rpl13
6.534158458406996e-24,0.6299795340752601,0.996,0.691,2.043623399451372e-19,5,Rpl18
9.722576943566175e-24,0.6834357544355947,0.974,0.541,3.0408331648697566e-19,5,Ctss
1.1751664335645836e-23,-1.3501236806757284,0.041,0.409,3.6754505376165917e-19,5,Acp5
1.3176347448013203e-23,0.6795111787840185,0.989,0.624,4.1210344278406095e-19,5,Rpl24
2.8816854779687726e-23,0.9632188974963587,0.519,0.05,9.012759500895133e-19,5,Gpr141
8.869949940524403e-23,-3.5119237111708648,0,0.315,2.7741655433984125e-18,5,Retnlg
9.745761083320874e-23,0.8314566301640749,0.759,0.293,3.0480842364194367e-18,5,Rap1a
6.273166857024185e-22,0.7713633369814903,0.881,0.481,1.961995666202884e-17,5,Psma7
1.1797792352242403e-21,0.7646136947675619,0.948,0.503,3.689877536087334e-17,5,Prdx5
1.5366174567155897e-21,1.1649837110587233,0.593,0.144,4.8059247576236786e-17,5,Bst2
2.08566892039937e-21,1.7843035184858231,0.459,0.039,6.52313811544107e-17,5,Chil3
2.7036703850722277e-21,1.4546018947722144,0.437,0.028,8.455999496351899e-17,5,Fn1
2.7104841045255314e-21,0.9038716260646474,0.704,0.26,8.477310085314053e-17,5,Ly86
2.7953101215787685e-21,0.6624890901881195,0.959,0.591,8.742611936249756e-17,5,Lgals3
2.9061948798750695e-21,0.6170854367152319,0.989,0.602,9.089415106297268e-17,5,Rps7
3.696857804222651e-21,0.6985836611888476,0.907,0.464,1.1562292468486763e-16,5,Rpl36al
5.685757370850147e-21,0.8269325159375913,0.785,0.337,1.778277475307092e-16,5,Pomp
6.0584755633733116e-21,-1.2700994434008723,0.026,0.354,1.8948488172006368e-16,5,Basp1
1.0670442823280757e-20,0.5887701082708552,1,0.635,3.3372876974092893e-16,5,Rps18
1.6197432186219932e-20,-1.7218901892852523,0.081,0.436,5.065908890562146e-16,5,Pltp
2.328953151893277e-20,0.5842955215313435,1,0.652,7.284033877861413e-16,5,Rps15a
2.99371233065747e-20,0.7821901984778286,0.774,0.343,9.363134685364303e-16,5,Psmb8
3.724546423988075e-20,0.8467646837227374,0.626,0.138,1.1648891395665105e-15,5,Mgst1
5.129824520095537e-20,1.049724966367333,0.463,0.066,1.6044039169050802e-15,5,Ifi211
6.391217256816475e-20,-0.9865828786141665,0.004,0.287,1.9989171092419207e-15,5,Slamf9
7.037506289203662e-20,-1.9570504353403917,0,0.276,2.2010504670113374e-15,5,Mmp9
7.829799387665728e-20,0.9045732441266868,0.441,0.039,2.448848056486333e-15,5,Rnase6
8.327846471588009e-20,1.0509567915800142,0.511,0.099,2.6046172624538656e-15,5,H2-DMa
9.662753421746497e-20,0.5984019224281323,0.874,0.425,3.0221227601854346e-15,5,Prdx1
1.53314349281267e-19,1.095587925716779,0.415,0.039,4.795059588120907e-15,5,Arl5c
1.8242097236396003e-19,0.5877751706276371,0.993,0.613,5.7053983316552135e-15,5,Rpl28
2.9088469200191974e-19,0.9017200589578424,0.552,0.149,9.097709627052042e-15,5,Ifi203
3.6010836419604494e-19,-1.8571900029165336,0.074,0.403,1.1262749198595502e-14,5,Rgs1
4.2158753999380193e-19,0.7899377459662043,0.748,0.315,1.3185571900846149e-14,5,Csf1r
9.773022993927644e-19,0.6638108051077257,0.6,0.166,3.05661067158081e-14,5,Tmpo
1.0506674614806277e-18,1.3121396870788211,0.626,0.199,3.286067552526811e-14,5,Cd74
1.252373424809378e-18,0.7506488234660895,0.83,0.403,3.916923123433811e-14,5,Sec61g
1.3175480524354374e-18,0.47402254135996413,0.993,0.834,4.120763288797074e-14,5,H3f3a
1.74574600024252e-18,0.5349596669287116,0.985,0.674,5.459995190358506e-14,5,Coro1a
1.9771853484620217e-18,0.7902115735202293,0.737,0.32,6.183844895849819e-14,5,Psme1
3.869451683549719e-18,0.5096455243569507,0.981,0.68,1.21020970854701e-13,5,Ly6e
3.954960602810357e-18,0.660528967359183,0.885,0.448,1.2369534781349672e-13,5,Atp5h
6.2916293768327086e-18,-1.2022757030476499,0.041,0.343,1.967770003898198e-13,5,Tcf7l2
8.35646021694406e-18,-2.7904445356129806,0.022,0.298,2.613566497451424e-13,5,G0s2
9.006747064129407e-18,0.49839111736885755,1,0.735,2.8169502117771134e-13,5,Rps11
1.0154862847920832e-17,0.6973254625576719,0.904,0.514,3.1760349043157194e-13,5,Sat1
1.933754792721087e-17,-1.2130014426103575,0.107,0.436,6.048011489714471e-13,5,Pilra
2.626555626649202e-17,0.5252833047170835,0.989,0.674,8.214815377908044e-13,5,Rpl11
3.402810134547147e-17,0.9051932592129739,0.619,0.238,1.0642628976809656e-12,5,Capg
3.86617372766267e-17,1.0095829523384534,0.459,0.077,1.2091844950637765e-12,5,F13a1
6.615430656580447e-17,0.9730001134147849,0.359,0.028,2.0690420921521003e-12,5,Msr1
7.097026938834654e-17,0.46352100350044667,0.996,0.757,2.2196661453899263e-12,5,Rps14
7.418722098991146e-17,0.849650594965681,0.674,0.298,2.320279523680471e-12,5,S100a10
7.854289975865293e-17,-2.3785561001310396,0.267,0.586,2.4565077328516294e-12,5,Cxcl2
8.047590238152625e-17,-1.6575984729806406,0.052,0.343,2.5169643228846147e-12,5,Fabp4
9.612065499465496e-17,0.43837477530197066,1,0.762,3.006269605612829e-12,5,Rps10
1.0713761854083883e-16,-0.8316138603102444,0.004,0.243,3.3508361574832753e-12,5,Fcrl5
1.952386394936404e-16,0.463655445094064,1,0.735,6.106283688803097e-12,5,Rps24
3.108906329363559e-16,-1.9557475347001136,0.033,0.298,9.723415435717467e-12,5,Il1r2
3.143765261554157e-16,0.49008644899721077,0.915,0.409,9.832440232036781e-12,5,Lsp1
3.18016378333551e-16,0.7415883149013701,0.467,0.094,9.946280248760142e-12,5,C3
4.407835295703692e-16,0.5399129939788381,1,0.608,1.3785945670842866e-11,5,Rps5
4.588568123619603e-16,0.6778929525654519,0.581,0.171,1.435120566343267e-11,5,Plbd1
4.851698596293622e-16,0.9067745189824171,0.452,0.094,1.5174172529767932e-11,5,BC028528
5.676951972388035e-16,-1.2137648951898246,0.074,0.37,1.775523498884082e-11,5,Ccr5
6.393322001776427e-16,0.7276478833143711,0.733,0.354,1.9995753892755953e-11,5,Cox7b
6.67898885299688e-16,0.7153111296792908,0.426,0.072,2.0889205536633043e-11,5,Zbp1
6.833808351864702e-16,0.966564036425497,0.326,0.017,2.1373419001292042e-11,5,F10
7.007660028502103e-16,-1.641410628669455,0,0.221,2.1917157505143177e-11,5,Cxcr2
8.362227201017046e-16,-1.2145645549574424,0.1,0.403,2.6153701793900912e-11,5,Clec4b1
9.710735012361492e-16,0.6127758340645939,0.878,0.481,3.03712948246618e-11,5,Cox6c
1.1886353831385555e-15,0.7289330084445078,0.689,0.309,3.717576024304146e-11,5,Ndufa4
1.3942986199640154e-15,0.5265966867428693,0.959,0.641,4.360808363799454e-11,5,Rps3
1.7962093214005655e-15,0.8499395792384281,0.522,0.155,5.6178242736124086e-11,5,Pnp
2.0501789262717202e-15,0.4396797783692197,0.981,0.729,6.412139609807432e-11,5,Rps13
4.411015131512188e-15,0.6149191739029698,0.726,0.365,1.379589092531752e-10,5,Arf5
5.7675430709441435e-15,0.4329868526300329,0.996,0.757,1.8038567708684904e-10,5,Rpl37
6.332345648212841e-15,0.4132733060156464,1,0.768,1.980504424935048e-10,5,Rpl35a
9.138739986578695e-15,0.5355461992724706,0.937,0.547,2.8582323182023525e-10,5,Rpl15
1.0317071107584548e-14,-1.5799368378443197,0,0.204,3.2267671596081434e-10,5,Lipg
1.053644618408935e-14,0.7019201650860174,0.626,0.265,3.295378908535785e-10,5,Psme2
1.3905246017657645e-14,0.5758636341393775,0.922,0.575,4.349004744482605e-10,5,Hspa8
1.5220997124767163e-14,0.532640772934242,0.904,0.53,4.760519060742178e-10,5,Naca
1.5328955099747115e-14,0.3348481073395708,0.544,0.144,4.794283996996907e-10,5,Emb
1.5803569366010827e-14,0.5318429697191362,0.863,0.47,4.942724354913547e-10,5,Emp3
1.6674038194868023e-14,0.7485864059687775,0.422,0.094,5.214972185826923e-10,5,Jarid2
1.7643622845066152e-14,0.5671098848621063,0.922,0.486,5.518219481022889e-10,5,Rpl7a
2.0357685651067982e-14,0.4479144179367831,0.596,0.166,6.367069764228022e-10,5,Mcemp1
2.5106269946829102e-14,-0.7467355707015673,0,0.199,7.85223698857027e-10,5,C3ar1
2.855918172596374e-14,0.8249521353587083,0.533,0.193,8.932169676612419e-10,5,Mndal
3.436524107111709e-14,-1.432791925050855,0.019,0.243,1.0748072797402583e-9,5,Cd9
7.097567240653003e-14,0.49784572988261155,0.978,0.652,2.219835130186633e-9,5,Rpl8
9.297861610900172e-14,0.5410429136514403,0.911,0.552,2.9079991974251378e-9,5,H2afz
1.044486500362825e-13,-1.0870746479662765,0.159,0.459,3.2667359785347717e-9,5,Bcl2a1b
1.3412509373292082e-13,-1.57026057581433,0.056,0.304,4.194896431590831e-9,5,Lmnb1
1.7166213494760065e-13,0.6119488686466402,0.596,0.243,5.368904932621158e-9,5,Cycs
1.7819667271807676e-13,0.7201848919452103,0.478,0.144,5.573279135930569e-9,5,Lrp1
1.827739513250845e-13,0.4345068070269904,0.996,0.751,5.716438101643343e-9,5,Rps16
2.0744560750641304e-13,0.44620610099433966,0.996,0.635,6.4880688203705745e-9,5,Rpl32
3.0261169244000105e-13,0.592512935859655,0.622,0.254,9.464483292753472e-9,5,Cx3cr1
3.4710423834777317e-13,-0.8614180642397923,0.004,0.193,1.0856032158564953e-8,5,Cadm1
3.526214079321664e-13,0.53020249013496,0.9,0.558,1.1028587154486436e-8,5,Atox1
3.5823564210311743e-13,0.4665181370806697,0.996,0.669,1.1204177942417102e-8,5,Rpl26
3.7978710259626224e-13,0.4211136931062782,0.993,0.718,1.1878221420800697e-8,5,Rpl30
3.851182333942014e-13,0.42492463102501565,0.996,0.74,1.2044957867637043e-8,5,Rpl18a
3.91919748759912e-13,-1.077128151682859,0.03,0.254,1.2257682062215008e-8,5,Siglece
4.036668240228958e-13,0.6115664377423964,0.626,0.298,1.2625083588140089e-8,5,H2afy
4.3036104744200994e-13,-0.692845961350709,0.889,0.878,1.3459972119796304e-8,5,Ddx5
4.529832909621716e-13,0.4551205761378836,0.989,0.646,1.4167505408132879e-8,5,Rpl21
5.007826395573613e-13,0.3769841592225758,0.978,0.696,1.5662477834796032e-8,5,Sem1
5.466778533150626e-13,0.51145325135322,0.959,0.608,1.70978965402819e-8,5,Rpl6
6.122676340702405e-13,0.2641858471051952,1,0.972,1.914928252318084e-8,5,Fau
6.220146323625857e-13,0.4177889709013143,0.993,0.674,1.9454129641772232e-8,5,Rps23
6.795878052626686e-13,0.47471646345772167,0.744,0.376,2.1254788197395224e-8,5,Ctsc
7.131403856698144e-13,-1.031026341142947,0.685,0.773,2.2304178702209113e-8,5,Txn1
7.491762246536326e-13,-1.5530277168886317,0.004,0.188,2.3431235602267013e-8,5,Acod1
7.528977986351328e-13,0.47184389747625444,0.985,0.586,2.3547631550112415e-8,5,Rpl22
7.772522660803274e-13,0.31654752294841937,0.856,0.508,2.430934187392832e-8,5,Samhd1
8.029153818939928e-13,0.6735624315653955,0.485,0.16,2.5111981484116517e-8,5,Ifi207
9.793846129992597e-13,0.6505879975163098,0.493,0.177,3.063123315616485e-8,5,Zfp706
1.046342834365037e-12,-1.9559948621539227,0.011,0.204,3.272541848760089e-8,5,Ifitm1
1.0992586823719186e-12,0.6099545787059609,0.43,0.116,3.4380414549864124e-8,5,Ifi209
1.1036002080099412e-12,0.473281253493413,0.844,0.464,3.4516200105718924e-8,5,Ctsb
1.1457269101913317e-12,0.5375810040997322,0.641,0.276,3.583375484314409e-8,5,Itga4
1.155261221825771e-12,0.44662440754555366,0.996,0.635,3.613194997382281e-8,5,Rpl10
1.4641491185035465e-12,0.28968811741658174,1,0.895,4.579272783031692e-8,5,Rps27
1.5899779768577732e-12,0.5790145893978969,0.581,0.265,4.9728151204203714e-8,5,Snrpb
1.7739912939367768e-12,0.4621186083360804,0.978,0.663,5.548335170916663e-8,5,Rps28
1.920864793675073e-12,-1.3540910683272964,0.015,0.21,6.007696728698158e-8,5,Cd24a
1.929408937512126e-12,0.7270068553492796,0.57,0.26,6.034419392962925e-8,5,Atp5g1
2.3065229988998396e-12,-0.654966766295839,0.004,0.182,7.213881331359139e-8,5,Negr1
3.771913064985146e-12,0.6906873697865943,0.481,0.16,1.1797035302047543e-7,5,Gm21188
