p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.2356138160441214e-25,1.834697506585004,1,0.608,6.992105771059594e-21,0,Ptx3
2.135169795201187e-21,1.084484086214919,0.987,0.758,6.677957051471233e-17,0,Sod2
5.470628774384948e-21,1.1098419686229053,0.962,0.433,1.7109938554766362e-16,0,Lbp
9.479254780870331e-21,0.7112332046156038,0.772,0.133,2.964731725265005e-16,0,Lgi2
1.3204415542838621e-20,0.8317808612984654,0.886,0.267,4.129813005178207e-16,0,Ace
8.351102746226656e-20,2.7478884292135963,0.835,0.258,2.6118908949098487e-15,0,Saa3
1.109196454399055e-19,1.0126118407842002,0.987,0.667,3.4691228307784844e-15,0,Fam46a
1.2258089799292682e-18,0.8022703054163359,0.899,0.325,3.8338401656267796e-14,0,Tor3a
1.928977793075387e-18,0.6821426372507682,1,0.942,6.03307094562258e-14,0,Ifi204
2.2910770272979517e-18,0.9662456122192151,0.987,0.583,7.165572510577074e-14,0,Fam26f
3.742873629275121e-18,0.755898257996546,0.873,0.367,1.170621156292087e-13,0,Daxx
6.2368891452684086e-18,0.6719170300251003,1,0.933,1.9506494490741476e-13,0,C1s1
1.1230472680789425e-17,1.0376352224180805,0.962,0.733,3.5124426356437007e-13,0,Mgst1
2.4287714645136765e-17,0.7005219922715579,0.975,0.7,7.596225632412974e-13,0,G3bp2
2.526284195240121e-17,2.099697115923184,0.81,0.258,7.901206449033002e-13,0,Lcn2
3.469746688847475e-17,0.8165640284472298,0.987,0.767,1.0851979744039363e-12,0,Slfn5
5.052741995925913e-17,1.0315938660810866,0.848,0.3,1.5802955866457885e-12,0,Steap4
5.188079241186566e-17,0.858419549802119,0.987,0.808,1.6226236634735103e-12,0,AW112010
5.202985469694932e-17,0.819643775137644,0.861,0.333,1.6272857355017869e-12,0,Gm2564
5.873945394054853e-17,0.6475085987906466,0.987,0.942,1.837135161444596e-12,0,Itm2b
7.939595666880921e-17,0.7277078437716373,1,0.892,2.4831879407736768e-12,0,Pnp
8.69398372701268e-17,0.8537626836114515,0.886,0.325,2.7191303504604857e-12,0,Efemp1
1.3458381610735387e-16,0.6638578735352378,0.759,0.167,4.2092434325736e-12,0,Plscr2
1.8806374401190762e-16,0.9510527620513529,0.975,0.8,5.881881657716423e-12,0,Apod
4.81232297331081e-16,0.7015684091847216,0.987,0.942,1.505102133132689e-11,0,Ifitm2
6.842026802667623e-16,0.8057214863146491,0.975,0.8,2.1399123028023257e-11,0,Pcolce
7.347417867913567e-16,0.6291342590274593,0.861,0.308,2.2979784123686474e-11,0,Slfn8
9.473100448140576e-16,0.7688044198571271,0.937,0.458,2.962806896160446e-11,0,Gpm6b
1.268066994631961e-15,0.7071093787697836,0.873,0.342,3.966006332410921e-11,0,Ggt5
1.855454313066136e-15,0.7664551774260056,1,0.867,5.8031189095456475e-11,0,Vcan
1.9627056645947565e-15,0.8076389835430792,0.734,0.2,6.138558236586561e-11,0,Itm2a
4.220341897014033e-15,0.6373207367193818,1,0.933,1.319954131710109e-10,0,Bst2
4.423320725652393e-15,0.7330851406032884,0.949,0.675,1.3834377901550424e-10,0,Trim30a
6.49089532222547e-15,0.6875578453506266,0.81,0.25,2.030092420979238e-10,0,Mx1
8.031684978299432e-15,0.6872990337694396,0.962,0.8,2.51198979381293e-10,0,Lgals9
1.0025942615127472e-14,1.0262438448870224,0.949,0.667,3.135713812307268e-10,0,Id3
1.0347703449347361e-14,0.5460041048459314,0.987,0.95,3.236347730817881e-10,0,Serping1
1.6584290407961747e-14,0.8758991543516367,0.835,0.342,5.186902667994116e-10,0,Emb
1.7062719500011702e-14,0.6182150378533255,1,0.8,5.33653615082366e-10,0,Prdx6
1.841348294592049e-14,-1.1909776122954125,0.848,0.925,5.759000926166093e-10,0,Emp3
2.0050192914722123e-14,0.9285626695934026,0.747,0.225,6.270898336008492e-10,0,Gpx3
2.408997675859289e-14,0.5489042518412375,1,0.95,7.534381131017512e-10,0,Ly6e
2.7754030870939227e-14,0.8985682071146002,0.987,0.833,8.680350695194953e-10,0,Cxcl9
3.847747918525317e-14,0.7094607749512954,0.949,0.6,1.203421638997978e-9,0,Ifih1
4.316118143904456e-14,0.6605831745954953,1,0.983,1.3499091106875576e-9,0,Fth1
4.6606980119173846e-14,0.6519060709246642,1,0.958,1.4576799102072812e-9,0,C3
4.797877541160493e-14,0.5725107652645516,1,0.883,1.5005841797733556e-9,0,Lgals3bp
7.037882935248274e-14,0.6853401205819831,0.861,0.433,2.2011682668282505e-9,0,Fas
9.601733509514875e-14,0.5771605302049048,0.937,0.642,3.0030381724358723e-9,0,March5
1.0906023728100843e-13,0.6119291230571624,0.975,0.567,3.4109679812008197e-9,0,Gbp5
1.2180348379439675e-13,0.7586339014267323,0.937,0.567,3.809525759153553e-9,0,Cebpd
1.7349371318724668e-13,0.6087076372378374,0.949,0.65,5.4261893736443276e-9,0,Cd302
2.3834384129275166e-13,0.5284953505334031,0.987,0.875,7.454441980272102e-9,0,C1ra
2.6767945117484937e-13,-1.6045646633184023,0.101,0.608,8.37194251494459e-9,0,Des
2.80801745333972e-13,-0.788055986597956,0.899,0.95,8.782355387065309e-9,0,Anxa5
3.5324982984909944e-13,0.6683845098900352,0.899,0.517,1.1048241678360434e-8,0,Usp18
