p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.2872274690642495e-83,1.6251547637085906,0.995,0.436,1.3408732632245347e-78,9,Tmem123
2.373104645634419e-77,0.7067974462737876,1,1,7.42212208968621e-73,9,B2m
4.093817452927737e-77,1.0321334919142555,0.997,0.872,1.2803823465776791e-72,9,Npc2
3.881245865660948e-73,-0.9201133988201873,0.987,0.993,1.213898456944118e-68,9,Rps18
8.742526126045881e-73,1.4440369727250486,1,0.432,2.7343124711821097e-68,9,Ccl5
1.1932591419165037e-72,1.3679405784431102,0.957,0.328,3.732037292258057e-68,9,Marcksl1
4.6677404545534e-71,-0.9219023051192301,0.914,0.997,1.4598825045661215e-66,9,Rpl12
2.842282607835541e-70,1.2692380920295123,0.992,0.571,8.889523084266439e-66,9,AW112010
6.580260766559608e-70,1.4023708379147521,0.922,0.189,2.058042357349183e-65,9,Fscn1
1.2969111573870507e-68,1.0404583138780585,0.992,0.777,4.05621933584374e-64,9,Btg1
4.252341904734592e-68,-0.7526122220514702,0.978,0.997,1.329962454124791e-63,9,Rpl28
6.776252455930237e-68,-0.8181030073223732,0.987,0.997,2.1193407181167408e-63,9,Rpl32
2.132574387486348e-67,1.314414098969239,0.946,0.267,6.669839654302302e-63,9,Ccr7
8.457603133233795e-67,-0.6829136862876135,1,0.997,2.645199955950202e-62,9,Rps8
3.621028696672087e-66,0.7388713986778006,1,0.99,1.132512935171162e-61,9,H2-K1
3.1932438669870825e-65,-0.6798017915834786,1,0.997,9.987189518388799e-61,9,Rpl13
6.986220757401594e-65,-0.7568469136154699,0.992,1,2.1850104040849225e-60,9,Ppia
1.8185652626830096e-64,1.0765933073311724,0.997,0.642,5.687744715567381e-60,9,Marcks
1.2118020471983975e-63,1.1203527716632105,0.954,0.318,3.7900320828177082e-59,9,Samsn1
1.3818199000625634e-63,-0.9090627890206937,0.992,0.997,4.321779919435673e-59,9,Ptma
5.561981277761171e-63,1.0826269232641912,0.954,0.426,1.739565264432584e-58,9,Lamp1
1.1009034479020504e-62,1.1514957859651727,1,0.983,3.4431856236584525e-58,9,Fth1
1.6226844162574754e-60,1.2241764813670275,0.892,0.314,5.07510778028688e-56,9,Zeb2
3.1721218231294137e-59,1.1559497962251126,0.927,0.365,9.921128214019554e-55,9,Gbp2
3.370799563849601e-59,0.999570706158774,0.989,0.767,1.0542512715896013e-54,9,Fcer1g
4.845083766287802e-59,-0.5561999876541801,0.997,0.993,1.5153483987441732e-54,9,Rps27a
1.3462686286601395e-58,-0.6186458441079989,0.984,1,4.210589762997452e-54,9,Rps15a
2.216676536885159e-58,1.2800626222570786,0.895,0.307,6.932877536762023e-54,9,Ly6i
3.608053014899186e-58,-0.8602843370945372,0.933,0.99,1.1284546609398694e-53,9,Rpl10a
9.949895857942132e-58,1.370077411677943,0.831,0.169,3.111929428529981e-53,9,Il1rn
4.8960302318810366e-57,1.2296336232966947,0.927,0.446,1.5312824153231131e-52,9,Prdx5
7.787306214865698e-56,1.0433224604393108,0.944,0.443,2.4355578917613955e-51,9,Cd274
8.803191281778074e-56,1.2009772220391035,0.825,0.223,2.75328610528891e-51,9,Glipr2
9.127500225404822e-56,-0.6703631246617441,0.965,0.983,2.854716970497612e-51,9,Rps3
1.029382600126878e-55,-0.613952751480559,0.992,0.99,3.219497020156824e-51,9,Rps11
1.7177000409184088e-55,-0.8430751008791515,0.922,0.97,5.372278647976416e-51,9,Rps6
2.3680829715844594e-55,0.7991033931517368,0.992,0.861,7.406416301927555e-51,9,Ctss
3.694967291059361e-55,1.05880292625198,0.93,0.368,1.1556379699517258e-50,9,Tbc1d4
5.1307036572990604e-55,1.007216096269657,0.984,0.659,1.6046788758568542e-50,9,Dusp1
5.956945576338497e-55,-0.61248716113773,0.987,0.993,1.8630942984556282e-50,9,Rps5
1.153047891798742e-54,-0.5655488039414647,0.997,0.997,3.6062725863897458e-50,9,Rplp1
3.5287245658164833e-54,1.0922104815372682,0.962,0.598,1.1036438952047633e-49,9,Epsti1
4.3502551452093006e-54,-0.5924988979114683,1,0.997,1.3605857992156608e-49,9,Rps26
4.9003045937571205e-54,-0.6187653214457933,0.987,0.993,1.532619264743477e-49,9,Rpl8
8.053305986942963e-54,0.8764197192753636,0.995,0.851,2.518751980476281e-49,9,Junb
1.1679589894626353e-52,-0.9782890859028541,0.858,0.963,3.652908535443338e-48,9,Eef1b2
4.88830591653852e-52,-0.6549663340137108,0.97,0.99,1.5288665584565875e-47,9,Rps7
6.992523140128816e-52,1.1874409312101983,0.895,0.328,2.1869815373066886e-47,9,Fabp5
8.629058491225961e-52,1.1660907705796895,0.887,0.358,2.6988243337158314e-47,9,Cebpb
1.0393644985789517e-51,-0.7199793866255586,0.965,0.983,3.2507164057555294e-47,9,Rps2
1.2552286905098862e-51,0.8665822785535962,0.954,0.463,3.92585325243872e-47,9,Gadd45b
1.2670215352319e-51,-0.745007544648046,0.925,0.986,3.96273655359129e-47,9,Rpl14
2.2363692826043914e-51,1.44956968777287,0.836,0.264,6.9944685682734945e-47,9,Lyz2
2.904581759992873e-51,-0.7823267622689851,0.914,0.986,9.08436991255371e-47,9,Rps17
4.84575629316245e-51,-0.4718579882593241,0.997,1,1.5155587382494879e-46,9,Rps24
6.200681835747839e-51,-0.6438489753622294,0.989,1,1.939325250948494e-46,9,Rpl21
6.834792721053679e-51,-0.5297125937259906,0.997,1,2.1376497714367485e-46,9,Rps20
8.607548171261537e-51,1.037338793351354,0.839,0.199,2.6920967660437582e-46,9,Ms4a6d
1.195860880506795e-50,0.9250665160800919,0.954,0.443,3.740174489873052e-46,9,Lst1
2.15804879174015e-50,-0.44861376600858227,1,0.993,6.749513401046493e-46,9,Rpl35a
2.559327478727327e-50,1.0560300849911648,0.879,0.311,8.004552622467588e-46,9,Cybb
5.057766695562625e-50,-0.44467422797430256,1,1,1.5818671117041665e-45,9,Rpl41
7.779978942351077e-50,-0.49031560149927245,0.995,0.99,2.433266214009723e-45,9,Rpl27a
9.908071620104465e-50,-1.1379881257320448,0.978,0.97,3.0988484799038726e-45,9,Tmsb10
2.2113140961832198e-49,-0.5059419168187671,0.997,0.993,6.916105967222638e-45,9,Rps16
2.3128794289547817e-49,-0.5750505114830342,0.995,0.997,7.233761701998975e-45,9,Rps3a1
4.348191450803134e-49,0.9626109099618188,0.935,0.584,1.3599403581531883e-44,9,Cstb
1.5819177569995967e-48,-0.5251311231977378,0.997,0.997,4.947605976791939e-44,9,Rps12
1.887467907064711e-48,1.0085525706890435,0.884,0.422,5.90324462613559e-44,9,Ctsc
1.9775433080297107e-48,0.9229883548692928,0.954,0.432,6.184964450193724e-44,9,Rgs1
3.6863694677976324e-48,0.9196751332375596,0.758,0.162,1.1529489147483876e-43,9,Socs2
1.987811736471551e-47,-1.6378477311922959,0.013,0.48,6.217079986988423e-43,9,Pclaf
3.833341705344542e-47,0.968815369360347,0.777,0.172,1.198915951763559e-42,9,Clec4a1
5.135022150310759e-47,0.9785842233067815,0.774,0.196,1.606029527731193e-42,9,Tnfaip2
5.521754858705845e-47,-0.5148495547341487,0.989,0.993,1.72698404960884e-42,9,Rpl18
7.510465752694513e-47,1.0140927071221641,0.72,0.152,2.3489732688127358e-42,9,Cacnb3
1.1868436279758225e-46,-0.5769570859369035,0.965,0.993,3.7119721308571826e-42,9,Rpl6
2.6576901413090574e-46,-0.8947661716175572,0.742,0.916,8.312191685958208e-42,9,Eif5a
4.735064456241656e-46,-0.541540184192645,0.987,0.993,1.4809387593341405e-41,9,Rpl11
1.4705424272478717e-45,1.0115720283796361,0.766,0.25,4.599268495460444e-41,9,Net1
1.568398629792135e-45,1.0515282405593456,0.637,0.088,4.905323554537882e-41,9,Cd63
1.725402220817479e-45,1.0739149873653746,0.833,0.375,5.396367985828747e-41,9,Sod2
2.376058464679315e-45,-0.6984234215196992,0.876,0.973,7.431360454131025e-41,9,Rpl3
2.919172012795527e-45,1.013967758225718,0.745,0.196,9.130002387219289e-41,9,Pfkfb3
1.1022593797187976e-44,-0.5005720332115429,0.981,0.993,3.4474264360085116e-40,9,Rpl26
2.429884472594575e-44,0.9308163932633793,0.882,0.341,7.599706676486793e-40,9,Cxcl16
3.1039617575019633e-44,-0.5599956633729475,0.973,0.997,9.70795079276314e-40,9,Rps15
3.5343896671923345e-44,-0.5621660841713259,0.973,0.99,1.1054157123110746e-39,9,Rplp0
4.3963376412278775e-44,-0.602330714359474,0.984,0.997,1.374998560670431e-39,9,mt-Atp6
5.814857863804984e-44,0.8436082699623861,0.903,0.422,1.8186549454836465e-39,9,Etv3
7.199039803622904e-44,0.9620078709980106,0.761,0.253,2.2515716889810995e-39,9,Bmp2k
1.500051095006111e-43,-1.022011125680106,0.073,0.541,4.6915598047411124e-39,9,Cks1b
2.9150702735436163e-43,-0.5592113043427052,0.987,0.986,9.117173787535014e-39,9,Rpl15
6.588116348308191e-43,0.8626583719620988,0.946,0.554,2.06049926909687e-38,9,Basp1
7.72623098345039e-43,1.0321476703229453,0.946,0.649,2.416456002383944e-38,9,Ly6c2
1.2840757221941098e-42,-0.5293004852812699,0.995,0.997,4.016075228734298e-38,9,Rps4x
1.4340879128916856e-42,0.9614522476721664,0.798,0.297,4.485253356360036e-38,9,Tnfaip3
2.0517669366714375e-42,-1.060434784059812,0.68,0.868,6.417106271133588e-38,9,Taldo1
2.96360504539337e-42,-0.4855167540824912,0.989,0.99,9.268971139972303e-38,9,Rpl17
6.926545188984113e-42,0.7271357171285675,0.973,0.703,2.166346273306671e-37,9,Nfkbia
9.909896694154704e-42,1.0014642268201324,0.637,0.111,3.0994192900638253e-37,9,C3
1.627175681872687e-41,-1.005833226644336,0.051,0.497,5.089154662625016e-37,9,Dut
2.5136978308124854e-41,-0.45139346275867753,0.995,0.993,7.86184133564913e-37,9,Rps28
2.6125096556035965e-41,-0.7991793927640534,0.976,0.963,8.170885198865809e-37,9,Cd74
4.527984686851579e-41,-1.120755079304736,0.223,0.689,1.4161724906596998e-36,9,Ccnd1
5.040588634667103e-41,0.8933889526212855,0.75,0.182,1.576494501378483e-36,9,Clec4a3
5.836019942287426e-41,-0.47354891517888076,0.995,0.997,1.8252735971498155e-36,9,Rpl18a
7.976090324497627e-41,-0.5176678132542545,0.989,0.99,2.4946020098898777e-36,9,Rpl22
8.140465591656883e-41,-1.1176759489173653,0.019,0.436,2.546012018446607e-36,9,Xcr1
1.0359627000237374e-40,-1.333924548817426,0.075,0.52,3.240076940594241e-36,9,Stmn1
1.2151655256767573e-40,0.8439296586592515,0.847,0.395,3.8005516981066265e-36,9,Cflar
1.403997804324837e-40,0.85273491958702,0.645,0.115,4.39114353280636e-36,9,Klra2
1.4519920773928131e-40,0.4667572420641397,0.995,0.99,4.5412504212537624e-36,9,H2-D1
1.4638296566342062e-40,-0.4925830078793334,0.989,0.997,4.5782736340891436e-36,9,Rps25
1.7303226204411432e-40,-0.7224544328436786,0.79,0.922,5.4117570276917196e-36,9,Rpl4
1.8312007427586832e-40,0.9346429980310068,0.804,0.311,5.727263443052058e-36,9,Serpinb9
8.621532095880562e-40,0.862038703087974,0.677,0.162,2.696470378307605e-35,9,Rassf2
1.0063398419801896e-39,-0.6320077375753295,0.892,0.966,3.147428489777241e-35,9,Rpl36al
1.68526112273427e-39,-1.0317561527593413,0.53,0.814,5.270822687463702e-35,9,Ranbp1
2.1186877606388876e-39,-0.5213885192830419,1,0.993,6.626407840174185e-35,9,mt-Co3
3.8738656564040225e-39,1.1858147634540992,0.632,0.132,1.2115902226969221e-34,9,AA467197
6.156130581670447e-39,1.0518798226319424,0.64,0.128,1.9253914007232488e-34,9,Fpr2
8.478111046107991e-39,0.891719010629495,0.597,0.095,2.651614010780735e-34,9,Nrp2
2.2658021860020387e-38,0.6912286326905219,0.987,0.831,7.086522916939976e-34,9,Klf6
2.7000676446371366e-38,0.8919490786397524,0.884,0.449,8.444731565367108e-34,9,Zfp36l1
2.992103495911335e-38,-0.9165651112120314,0.901,0.926,9.358102893812292e-34,9,H2-Ab1
4.404947485627313e-38,0.9668768620783774,0.874,0.51,1.3776913756047985e-33,9,Ctsb
6.566641933692556e-38,0.6973228367154576,0.968,0.743,2.0537829311816838e-33,9,Mcl1
8.613894221201541e-38,-0.4720666457071756,0.995,0.997,2.6940815566229937e-33,9,Rps23
9.199937810853686e-38,0.9015512442507532,0.763,0.274,2.8773725497225988e-33,9,Gbp4
1.1646418673799968e-37,0.9709200095751459,0.704,0.193,3.642533904417678e-33,9,Ptgs2
1.3033269632810129e-37,-0.4325422374660164,0.984,0.993,4.076285410357696e-33,9,Rps13
1.5236544923217813e-37,0.5291112687973163,1,0.99,4.7653817901856036e-33,9,Ftl1
2.076790195787976e-37,-0.9527951584953664,0.651,0.872,6.495369016346474e-33,9,Ncl
2.4679513445056518e-37,-0.8945034222226429,0.253,0.693,7.718764625075876e-33,9,Mrpl42
2.989032629125117e-37,0.7530308494833347,0.935,0.534,9.348498450851716e-33,9,Ms4a4c
3.0851483108755394e-37,0.9314239841944468,0.788,0.348,9.649109857094337e-33,9,Gyg
7.123155228213601e-37,0.8102983702527677,0.602,0.111,2.227838029176086e-32,9,Anxa3
1.2275224182976213e-36,0.785578385571226,0.788,0.324,3.83919911546764e-32,9,Pcgf5
1.838330571081098e-36,0.8100472900503468,0.844,0.48,5.749562694113242e-32,9,Rnf19b
3.763951957979845e-36,0.8798331235817558,0.694,0.206,1.1772136143777764e-31,9,Ccrl2
3.851360592116338e-36,1.2994437063053184,0.5,0.044,1.204551538790306e-31,9,Ccl22
9.513557408928341e-36,0.7685046575766974,0.901,0.578,2.975460215216428e-31,9,Clic4
1.2306104213998088e-35,-0.3666019660135924,0.997,1,3.848857153970042e-31,9,Rps10
1.4094566128309858e-35,-0.8444375956815515,0.82,0.943,4.4082165022901915e-31,9,Cycs
1.6500517929267831e-35,0.6859641002752515,0.965,0.632,5.160701987557807e-31,9,Ms4a6c
2.0532003865788088e-35,0.9303187060595394,0.734,0.24,6.421589529063882e-31,9,Serpinb6b
2.625357130722588e-35,-0.7236295436300775,0.737,0.922,8.211066962047966e-31,9,Hint1
2.954011173429707e-35,-0.4363317973016252,1,0.997,9.238965346018751e-31,9,Rpl39
7.508942503132894e-35,0.9016193271389323,0.559,0.098,2.3484968572798438e-30,9,Cfb
7.850347554060472e-35,0.8681423463995638,0.597,0.115,2.455274701007953e-30,9,Il4i1
7.93761491892946e-35,1.0104492988399731,0.704,0.223,2.482568442044378e-30,9,Tgfbi
8.043013751200537e-35,0.7825587829510519,0.755,0.28,2.5155329808254797e-30,9,Mxd1
1.23050454123192e-34,0.8785320232629938,0.581,0.111,3.8485260031569524e-30,9,Capg
2.124601951754895e-34,-0.6194890338749264,0.879,0.949,6.64490506430861e-30,9,Rpl36a
2.403730349481183e-34,0.8707461218407417,0.718,0.284,7.517907041037349e-30,9,Rnf115
2.640425425330099e-34,0.9077877553251837,0.659,0.179,8.258194560262419e-30,9,Ccr5
2.8272814634339103e-34,0.6836154210177704,0.777,0.247,8.842605505035898e-30,9,Tmem176b
3.01945990670673e-34,0.6535320786499177,0.973,0.801,9.443662804215969e-30,9,Zfp36
3.5435130779296858e-34,0.7732799613902583,0.849,0.449,1.1082691502532885e-29,9,Cytip
3.7688015875628703e-34,0.7147136937475811,0.793,0.297,1.1787303845261633e-29,9,Birc2
4.599664146345714e-34,0.6880777384461607,0.922,0.618,1.4385909584110857e-29,9,H2-Q6
5.391516624453399e-34,-0.5469013978881327,0.917,0.973,1.686250739464045e-29,9,Rpl29
9.946972743636732e-34,-0.927084960691264,0.156,0.578,3.111015195299824e-29,9,Ckb
1.2346681957751577e-33,-1.0066561015479671,0.013,0.365,3.8615482491063833e-29,9,Birc5
1.4224378411371433e-33,0.7729175633075003,0.532,0.078,4.4488165919405297e-29,9,Mmp14
1.4758957802070632e-33,0.6825422998708407,0.785,0.284,4.616011642175611e-29,9,Tmem176a
1.7837894649140628e-33,0.9526750973727619,0.624,0.152,5.578979930465223e-29,9,Fcgr4
2.2425762491154924e-33,-0.3447797501007992,1,1,7.013881476733614e-29,9,Rps29
3.148889827211373e-33,-0.8169127535264318,0.844,0.922,9.848467823586291e-29,9,H2-Eb1
3.796544410879318e-33,0.8362783838600506,0.761,0.341,1.1874072299466154e-28,9,Pirb
4.260242244356544e-33,-0.8255278267953573,0.083,0.476,1.3324333643449528e-28,9,Wdfy4
5.465611349401675e-33,0.6092594509840432,0.847,0.48,1.709424605638868e-28,9,Atp2b1
6.234929994561403e-33,0.8978046153716284,0.522,0.088,1.9500367050990244e-28,9,Acod1
6.241003210050045e-33,-0.43564364776009823,0.987,0.986,1.951936163975252e-28,9,Rpl10
1.8146970314539168e-32,-0.4035337778592951,0.992,0.997,5.6756464355752705e-28,9,Rpl27
2.0034344242980877e-32,-1.4343303383955042,0.763,0.841,6.265941505434699e-28,9,Hmgb2
2.044460821375062e-32,0.9275964444335363,0.538,0.098,6.394255664932643e-28,9,Maf
2.492615915129818e-32,0.5311354125862875,0.97,0.838,7.795905536160019e-28,9,Itm2b
3.8843795857020136e-32,-0.7292825110172989,0.796,0.939,1.2148785592241618e-27,9,Atpif1
4.6817025674559234e-32,0.6137051209499482,0.944,0.628,1.4642492949975145e-27,9,Rel
4.724157642532502e-32,0.5902376693433986,0.992,0.895,1.4775275442784653e-27,9,Srgn
5.608703691197808e-32,-0.6197013456646843,0.849,0.956,1.7541781664590263e-27,9,mt-Nd1
5.869040558605935e-32,-0.44992011849848756,0.976,0.99,1.8356011251095924e-27,9,Rpl36
6.810575417314068e-32,-1.2245427718402575,0.07,0.439,2.1300755675191476e-27,9,Top2a
