p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.382224856889083e-11,-2.2486381117963425,0.268,1,2.3088646462406297e-6,2,Lyve1
1.6460204229586762e-10,-2.1196198511185225,0.39,0.96,5.1480934748455554e-6,2,C3
1.6474048322670032e-10,-1.7212477847728613,0.195,0.92,5.1524233533982795e-6,2,Itga2b
1.7839894555016732e-10,-0.6209179520583978,1,1,5.579605421027033e-6,2,H2-K1
1.93118929081798e-9,-1.573920450508571,0.22,0.92,6.0399876259623146e-5,2,Cpe
2.3441693942365637e-9,-1.2790061928116596,0.756,1,7.331624197414276e-5,2,Ctsd
1.1010702272956453e-8,-1.4530302440308718,0.707,1,3.4437072428898603e-4,2,Lgmn
1.8531793362569277e-8,-1.220633297403241,0.927,0.96,5.796003692077167e-4,2,Npc2
1.0907942011949063e-7,-1.0024509488227253,1,1,0.0034115679436571887,2,Fth1
1.1412286826985615e-7,-0.8761008194419639,0.854,1,0.003569306828008021,2,Grn
1.1519142938108609e-7,-1.2640245211046548,0.195,0.84,0.0036027271453228484,2,Ctss
1.5601213522538561e-7,1.4724754329582288,0.854,0.16,0.00487943554130916,2,Cald1
1.8398648492345787e-7,-1.1676346835113591,0.707,0.96,0.005754361302466068,2,Ctsl
1.8398648492345787e-7,-1.182067208213723,0.707,0.96,0.005754361302466068,2,Vcam1
2.784064063037853e-7,-0.9565204245170236,0.561,0.96,0.00870743876355719,2,Ifi204
7.382224856889083e-11,2.2486381117963425,1,0.268,2.3088646462406297e-6,3,Lyve1
1.6460204229586762e-10,2.1196198511185225,0.96,0.39,5.1480934748455554e-6,3,C3
1.6474048322670032e-10,1.7212477847728613,0.92,0.195,5.1524233533982795e-6,3,Itga2b
1.7839894555016732e-10,0.6209179520583978,1,1,5.579605421027033e-6,3,H2-K1
1.93118929081798e-9,1.573920450508571,0.92,0.22,6.0399876259623146e-5,3,Cpe
2.3441693942365637e-9,1.2790061928116596,1,0.756,7.331624197414276e-5,3,Ctsd
1.1010702272956453e-8,1.4530302440308718,1,0.707,3.4437072428898603e-4,3,Lgmn
1.8531793362569277e-8,1.220633297403241,0.96,0.927,5.796003692077167e-4,3,Npc2
1.0907942011949063e-7,1.0024509488227253,1,1,0.0034115679436571887,3,Fth1
1.1412286826985615e-7,0.8761008194419639,1,0.854,0.003569306828008021,3,Grn
1.1519142938108609e-7,1.2640245211046548,0.84,0.195,0.0036027271453228484,3,Ctss
1.5601213522538561e-7,-1.4724754329582288,0.16,0.854,0.00487943554130916,3,Cald1
1.8398648492345787e-7,1.182067208213723,0.96,0.707,0.005754361302466068,3,Vcam1
1.8398648492345787e-7,1.1676346835113591,0.96,0.707,0.005754361302466068,3,Ctsl
2.784064063037853e-7,0.9565204245170236,0.96,0.561,0.00870743876355719,3,Ifi204
