cluster,migcDC2A,migcDC1,lang,migcDC2B
1,0.7643709377131656,0.6703030265063532,0.6295593307957864,0.6835838138937667
2,0.5513085757218844,0.4348357927214438,0.40393702855670677,0.4429073717183594
3,0.5914561654077414,0.5112168719485467,0.46845318983695944,0.5314782161441238
4,0.7147703631383607,0.6675204178007906,0.6507722462197975,0.6526990269172418
5,0.714791203803878,0.6603938812881683,0.623154376272504,0.6711773558862186
6,0.5462572750873552,0.4396200048044361,0.4090056074891491,0.444595385257448
7,0.5857031856481635,0.5037680883205665,0.45505293385932455,0.5429954938862347
8,0.5331036846427654,0.42353524188948233,0.401870992400833,0.4406292906927479
9,0.5841772062806551,0.5423733394763752,0.4812227767954718,0.5389068757495554
10,0.3081791491188124,0.23413976697680447,0.2297403244299387,0.23823223466224352
11,0.5508640685355632,0.43706831622640896,0.4094271173927003,0.45090949136399
12,0.7126891157359416,0.6975688088019637,0.6283323366696525,0.6571628383653693
13,0.49306924570469157,0.3813517717030211,0.3546212158641492,0.3838894008610169
14,0.6997934930924823,0.6452935754220999,0.6010437373245218,0.6607620298541863
15,0.704091129601141,0.6310142538568178,0.5774568004920332,0.6315274643514015
16,0.7117926451606758,0.6213450984726063,0.5713779863187199,0.6381889305141127
17,0.5243203661378655,0.4135423091683078,0.38561201094638275,0.4245909714906307
18,0.6632857336249299,0.5540329400963973,0.5151545075816425,0.5623435305893789
